sent_id,pair_id,model,model_short,lang,site,sens_level,concept_class,concept_en,subject_en,stance_strength,evidence_line,frame,part,cell_type,text,mention,mention_n_subtokens,n_tokens,layer,site_idx,vec_norm,vector_id,desc_id,selected_k,description,faith_cos,faith_mse
REP-001|en|latin#2,REP-001,google/gemma-3-12b-it,Gemma,en,A,S1,S,freedom,,,representation,C1,core,baseline,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",freedom,1,26,32,18,66061.9453125,REP-001|en|latin#2#siteA,REP-001|en|latin#2#siteA#k1,1,"Political/analytical writing context signals a debate or opinion piece about government regulation, establishing a philosophical argument about civil liberties and education.

The phrase ""The topic of freedom is often discussed under the concept of freedom"" introduces a classic rhetorical question, implying the text is framing a core ideological argument about the Constitution or rights.

Final token ""freedom"" ends a phrase (""discuss the concept of freedom...refers to freedom""), immediately requiring a noun or topic phrase — likely ""of speech"" or ""from the media,"" or ""of expression and..."". or ""in the United States."" or ""versus responsibility"" or ""of choice."" — the specific subject matter of the argument.",0.995134,0.009732
REP-001|en|latin#2,REP-001,google/gemma-3-12b-it,Gemma,en,B,S1,S,freedom,,,representation,C1,core,baseline,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",freedom,1,26,32,26,77675.5234375,REP-001|en|latin#2#siteB,REP-001|en|latin#2#siteB#k2,2,"Educational instructional context signals a discussion or reading prompt, establishing a pedagogical framework around a social/political topic.

The phrase ""There was considerable discussion among the participants"" sets up an introductory statement about diverse perspectives on the concept of justice, suggesting a summary or reflection on the debate.

Final sentence ""There was a wide range of opinions expressed during the discussion."" introduces a topic sentence, immediately expecting elaboration — likely ""Some people believed..."" or ""Which of these most accurately reflects..."" or ""Let's examine the following examples."" or ""Among these, one person argued..."" or ""Some participants described..."" or ""Which topic do you think relates to..."" the contrasting discussion.",0.996685,0.006632
REP-001|zh|hanzi#1,REP-001,google/gemma-3-12b-it,Gemma,zh,A,S1,S,freedom,,,representation,C1,core,baseline,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,自由,1,24,32,17,59816.9765625,REP-001|zh|hanzi#1#siteA,REP-001|zh|hanzi#1#siteA#k0,0,"Ongoing policy analysis structure: text is presenting a conservative opinion piece about economic nationalism, with a philosophical question framing.

The phrase ""自由"" signals a keyword or topic phrase listing the theme of freedom/liberalism, implying a specific subject matter typical in policy debate, likely referencing intellectual property or free speech.

Final token ""自由"" opens a noun phrase (""自由...包括自由贸易和自由""), requiring a continuation like ""出版物的"" or ""在人工智能的滥用"" — likely ""贸易"" or ""的社会契约"" or ""演讲。"" or ""的大学教育"" — a topic tag or keyword phrase about the publication's subject matter.",0.995117,0.009766
REP-001|zh|hanzi#1,REP-001,google/gemma-3-12b-it,Gemma,zh,B,S1,S,freedom,,,representation,C1,core,baseline,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,自由,1,24,32,24,83903.0703125,REP-001|zh|hanzi#1#siteB,REP-001|zh|hanzi#1#siteB#k2,2,"Academic/discussion format signals a reflective essay or classroom recap, establishing an intellectual framing around a topic introduction.

The phrase ""在这次会议中，各人表达了不同的观点"" sets up a transition toward summarizing or analyzing the varied perspectives on the debate about education and freedom/moral responsibility.

Final token ""观点。 "" ends a introductory sentence (""在会议中，人们的反应十分不同。""), immediately expecting elaboration — likely ""我对此感到..."" or ""其中，有人认为..."" or ""但是经济学人..."" or ""究竟这场讨论能否归纳为..."" or ""有些参与者认为..."" or ""例如以下是一些..."" referencing the outcome or the concept.",0.996782,0.006436
REP-002|en|latin#4,REP-002,google/gemma-3-12b-it,Gemma,en,A,S1,S,freedom,,,representation,C2,core,baseline,"In class, the teacher used a few everyday examples to help the students understand freedom.",freedom,1,17,32,16,66115.0,REP-002|en|latin#4#siteA,REP-002|en|latin#4#siteA#k4,4,"Academic/educational context signals a question format: a student seeking elaboration on a concept, likely a philosophical or social studies topic on freedom.

The phrase ""The topic of freedom is discussed in terms of freedom"" establishes a textbook/essay tone, suggesting a definition or argument about a basic constitutional concept.

Final token ""freedom"" ends a topic question phrase (""discuss the concept of freedom from the title of freedom""), immediately expecting a noun phrase like ""of choice"" or ""from totalitarianism"" — likely ""as a right."" or ""of speech."" or ""de..."" or ""This means..."" or ""in economics."" referencing the concept or the classical dilemma of the theorem.",0.99449,0.01102
REP-002|en|latin#4,REP-002,google/gemma-3-12b-it,Gemma,en,B,S1,S,freedom,,,representation,C2,core,baseline,"In class, the teacher used a few everyday examples to help the students understand freedom.",freedom,1,17,32,17,73671.421875,REP-002|en|latin#4#siteB,REP-002|en|latin#4#siteB#k3,3,"Educational context signals a question or instructional exercise, establishing a student comprehension task about a vocabulary/civic concept.

The phrase ""The class discussed the concept of freedom, using a story to illustrate the idea."" sets up a prompt or question about the example, implying a written reflection or survey question follows.

Final sentence ""The class used a story to teach freedom."" introduces a topic statement — immediately expects a question or task prompt like ""Which of the following examples best illustrates this?"" or ""He listed three examples"" or ""For example, which one did he find most relevant?"" or ""Which of these relates to freedom? She was asked to choose among...""",0.995659,0.008682
REP-002|zh|hanzi#3,REP-002,google/gemma-3-12b-it,Gemma,zh,A,S1,S,freedom,,,representation,C2,core,baseline,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,自由,1,18,32,17,60198.55859375,REP-002|zh|hanzi#3#siteA,REP-002|zh|hanzi#3#siteA#k3,3,"Educational worksheet format: student is asked to analyze a physics problem, requiring a topic/theme answer about a lesson resource.

The phrase ""自由"" signals a subject keyword or topic label (""自由...自由度...自由"") suggesting a book/text title or concept name typically found in physics/Taiwanese educational contexts.

Final token ""自由"" ends a topic phrase (""自由...叫做自由的英文是自由""), requiring a noun phrase — likely ""的运动"" or ""的例子"" or ""贸易"" to complete the subject, or ""的平方"" or ""和选择"" — the word ""自由"" itself as a word like ""自由落体"" or.",0.994463,0.011074
REP-002|zh|hanzi#3,REP-002,google/gemma-3-12b-it,Gemma,zh,B,S1,S,freedom,,,representation,C2,core,baseline,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,自由,1,18,32,18,65433.42578125,REP-002|zh|hanzi#3#siteB,REP-002|zh|hanzi#3#siteB#k4,4,"Educational textbook format signals a teaching or discussion activity, establishing a Chinese language/civics context around freedom.

The phrase ""同学们正在学习自由的概念，老师引导学生思考自由的定义。"" sets up a lesson narrative — the text is introducing a reading or discussion question about freedom as a concept.

Final token ""自由。'"" ends an introductory question prompt (""不同的教学内容中，同学们学习自由的概念。""), immediately expecting elaboration like ""下列选项中..."" or ""自由包括哪些例子"" or ""老师问了哪些内容？"" or ""根据这些，他认为..."" or ""例如，他可能说..."" — listing examples of the concept or the outcome/discussion.",0.994941,0.010117
REP-003|en|latin#6,REP-003,google/gemma-3-12b-it,Gemma,en,A,S1,S,freedom,,,representation,C3,core,baseline,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.",freedom,1,20,32,16,65275.2109375,REP-003|en|latin#6#siteA,REP-003|en|latin#6#siteA#k0,0,"Academic/reflective writing tone signals an essay response or discussion prompt, establishing a literary/philosophical tone about a classroom topic.

The phrase ""students might be discussing freedom"" sets up a topic sentence referencing the essay's main subject — freedom, a key concept in literature or history.

Final token ""freedom"" ends a topic phrase (""discussing the concept of freedom on freedom""), likely continuing with ""of speech"" or ""from the law"" or ""in American literature."" — or ""and slavery."" or ""of choice."" or ""the topic."" — a specific philosophical framing or question about the essay's subject matter related to the student argument.",0.995737,0.008526
REP-003|en|latin#6,REP-003,google/gemma-3-12b-it,Gemma,en,B,S1,S,freedom,,,representation,C3,core,baseline,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.",freedom,1,20,32,20,73617.5859375,REP-003|en|latin#6#siteB,REP-003|en|latin#6#siteB#k2,2,"Educational/narrative tone signals a short story or writing prompt, establishing informational prose about an English classroom interaction.

The phrase ""The student then asked the teacher a question"" sets up a scene of student-teacher dialogue or a thematic moment, suggesting a story about a student seeking deeper understanding or a conversation about the lesson.

Final sentence ""The student then sought a conversation with the teacher."" introduces a narrative pivot — immediately expects elaboration like ""The teacher replied..."" or "" "" or ""The student was curious..."" or ""The teacher listened attentively"" or ""This conversation involved..."" or ""He/She said...after class"" or ""The topic was..."" referencing the specific exchange.",0.996576,0.006848
