desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
REP-001|zh|hanzi#1#siteA#k0,REP-001|zh|hanzi#1#siteA,0,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.200026,0.899987,en,614
REP-001|zh|hanzi#1#siteA#k1,REP-001|zh|hanzi#1#siteA,1,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.205255,0.897373,en,608
REP-001|zh|hanzi#1#siteA#k2,REP-001|zh|hanzi#1#siteA,2,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.194665,0.902668,en,596
REP-001|zh|hanzi#1#siteA#k3,REP-001|zh|hanzi#1#siteA,3,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.225932,0.887034,en,653
REP-001|zh|hanzi#1#siteA#k4,REP-001|zh|hanzi#1#siteA,4,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.195344,0.902328,en,620
REP-001|zh|hanzi#1#siteB#k0,REP-001|zh|hanzi#1#siteB,0,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.188808,0.905596,mixed,529
REP-001|zh|hanzi#1#siteB#k1,REP-001|zh|hanzi#1#siteB,1,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.197827,0.901086,en,559
REP-001|zh|hanzi#1#siteB#k2,REP-001|zh|hanzi#1#siteB,2,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.201369,0.899315,en,547
REP-001|zh|hanzi#1#siteB#k3,REP-001|zh|hanzi#1#siteB,3,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.181272,0.909364,mixed,490
REP-001|zh|hanzi#1#siteB#k4,REP-001|zh|hanzi#1#siteB,4,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.186494,0.906753,en,561
REP-001|en|latin#2#siteA#k0,REP-001|en|latin#2#siteA,0,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.166659,0.916671,en,730
REP-001|en|latin#2#siteA#k1,REP-001|en|latin#2#siteA,1,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.155323,0.922338,en,724
REP-001|en|latin#2#siteA#k2,REP-001|en|latin#2#siteA,2,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.164565,0.917717,en,719
REP-001|en|latin#2#siteA#k3,REP-001|en|latin#2#siteA,3,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.161334,0.919333,en,741
REP-001|en|latin#2#siteA#k4,REP-001|en|latin#2#siteA,4,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.149006,0.925497,en,718
REP-001|en|latin#2#siteB#k0,REP-001|en|latin#2#siteB,0,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.206144,0.896928,en,733
REP-001|en|latin#2#siteB#k1,REP-001|en|latin#2#siteB,1,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.232895,0.883552,en,761
REP-001|en|latin#2#siteB#k2,REP-001|en|latin#2#siteB,2,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.237371,0.881315,en,757
REP-001|en|latin#2#siteB#k3,REP-001|en|latin#2#siteB,3,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.224402,0.887799,en,777
REP-001|en|latin#2#siteB#k4,REP-001|en|latin#2#siteB,4,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.208951,0.895524,en,757
REP-002|zh|hanzi#3#siteA#k0,REP-002|zh|hanzi#3#siteA,0,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.212279,0.893861,en,628
REP-002|zh|hanzi#3#siteA#k1,REP-002|zh|hanzi#3#siteA,1,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.218594,0.890703,en,609
REP-002|zh|hanzi#3#siteA#k2,REP-002|zh|hanzi#3#siteA,2,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.203432,0.898284,en,592
REP-002|zh|hanzi#3#siteA#k3,REP-002|zh|hanzi#3#siteA,3,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.211456,0.894272,en,570
REP-002|zh|hanzi#3#siteA#k4,REP-002|zh|hanzi#3#siteA,4,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.200764,0.899618,en,608
REP-002|zh|hanzi#3#siteB#k0,REP-002|zh|hanzi#3#siteB,0,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.251944,0.874028,mixed,527
REP-002|zh|hanzi#3#siteB#k1,REP-002|zh|hanzi#3#siteB,1,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.275395,0.862303,mixed,530
