pair_id,frame,zh_tokens,en_tokens,gap,within_20pct
REP-001,C1,24,26,0.077,True
REP-002,C2,18,17,0.056,True
REP-003,C3,19,20,0.05,True
REP-004,C4,21,22,0.045,True
REP-005,C5,20,20,0.0,True
REP-006,C6,23,21,0.087,True
REP-007,C1,24,26,0.077,True
REP-008,C2,18,17,0.056,True
REP-009,C3,19,20,0.05,True
REP-010,C4,21,22,0.045,True
REP-011,C5,20,20,0.0,True
REP-012,C6,23,21,0.087,True
REP-013,C1,25,27,0.074,True
REP-014,C2,19,18,0.053,True
REP-015,C3,20,21,0.048,True
REP-016,C4,22,23,0.043,True
REP-017,C5,21,21,0.0,True
REP-018,C6,24,22,0.083,True
REP-019,C1,26,28,0.071,True
REP-020,C2,20,19,0.05,True
REP-021,C3,21,22,0.045,True
REP-022,C4,23,24,0.042,True
REP-023,C5,22,22,0.0,True
REP-024,C6,25,23,0.08,True
REP-025,C1,25,29,0.138,True
REP-026,C2,19,20,0.05,True
REP-027,C3,20,23,0.13,True
REP-028,C4,22,25,0.12,True
REP-029,C5,21,23,0.087,True
REP-030,C6,24,24,0.0,True
REP-031,C1,26,28,0.071,True
REP-032,C2,20,19,0.05,True
REP-033,C3,21,22,0.045,True
REP-034,C4,23,24,0.042,True
REP-035,C5,22,22,0.0,True
REP-036,C6,25,23,0.08,True
REP-037,C1,24,27,0.111,True
REP-038,C2,18,18,0.0,True
REP-039,C3,19,21,0.095,True
REP-040,C4,21,23,0.087,True
REP-041,C5,20,21,0.048,True
REP-042,C6,23,22,0.043,True
REP-043,C1,24,26,0.077,True
REP-044,C2,18,17,0.056,True
REP-045,C3,19,20,0.05,True
REP-046,C4,21,22,0.045,True
REP-047,C5,20,20,0.0,True
REP-048,C6,23,21,0.087,True
REP-049,C1,25,26,0.038,True
REP-050,C2,19,17,0.105,True
REP-051,C3,20,20,0.0,True
REP-052,C4,22,22,0.0,True
REP-053,C5,21,20,0.048,True
REP-054,C6,24,21,0.125,True
REP-055,C1,25,26,0.038,True
REP-056,C2,19,17,0.105,True
REP-057,C3,20,20,0.0,True
REP-058,C4,22,22,0.0,True
REP-059,C5,21,20,0.048,True
REP-060,C6,24,21,0.125,True
REP-061,C1,24,26,0.077,True
REP-062,C2,18,17,0.056,True
