sent_id,pair_id,model,model_short,lang,site,sens_level,concept_class,concept_en,subject_en,stance_strength,evidence_line,frame,part,cell_type,text,mention,mention_n_subtokens,n_tokens,layer,site_idx,vec_norm,vector_id,desc_id,selected_k,description,faith_cos,faith_mse
REP-001|en|latin#2,REP-001,Qwen/Qwen2.5-7B-Instruct,Qwen,en,A,S1,S,freedom,,,representation,C1,core,baseline,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",freedom,1,25,20,16,114.90979766845703,REP-001|en|latin#2#siteA,REP-001|en|latin#2#siteA#k4,4,"Blog post format with political commentary, suggesting a Texas newspaper column or conservative writer's perspective introducing a book or political issue.

The phrase ""Recently I've been thinking about freedom"" implies an introductory or thematic list or argument about a specific topic related to the 2012 election, likely referencing ""originalism"" or ""religious liberties"" or similar concepts about constitutional freedom.

Final token ""freedom"" is mid-phrase (""I've been thinking about freedom""), part of an implied list or topic introduction structure (""The discussion centers around freedom""), strongly expecting a noun phrase like ""of speech,"" ""and religion,"" or ""of choice versus control,"" or ""and its limits.""",0.925497,0.149006
REP-001|en|latin#2,REP-001,Qwen/Qwen2.5-7B-Instruct,Qwen,en,B,S1,S,freedom,,,representation,C1,core,baseline,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",freedom,1,25,20,24,113.01725769042969,REP-001|en|latin#2#siteB,REP-001|en|latin#2#siteB#k0,0,"Formal civic/educational tone suggests a community blog or newsletter format introducing a public forum event, implying a summary or quoted discussion of values.

The phrase ""Yesterday's faculty meeting on social justice issues produced a wide range of opinions and viewpoints about our society's future. The participants had a lively debate."" strongly implies a quoted or contextualized passage follows, likely about the event's themes or conclusions.

Final token ""opinions. "" closes a sentence structure (""An recent forum on a variety of topics related to the debate, and participants shared their ideas. ""), strongly expecting continuation like ""The discussion included"" or ""Some key ideas were..."" or ""I want to share my views.""",0.896928,0.206144
REP-001|zh|hanzi#1,REP-001,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,A,S1,S,freedom,,,representation,C1,core,baseline,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,自由,1,25,20,17,101.01931762695312,REP-001|zh|hanzi#1#siteA,REP-001|zh|hanzi#1#siteA#k2,2,"Hong Kong gaming news site tone with localized terminology (""PSA"") suggests an article about Xbox games, likely discussing copyright or systemic issues around PC gaming.

The phrase ""本文討論自由"" implies an incomplete noun phrase or concept, likely a topic about a specific game or cultural debate around ""自由"" (freedom) or another aspect, suggesting continuation of a list or title context.

Final token ""自由"" is mid-word (""關於自由""), part of a noun phrase (""有關自由""), likely continuing with ""引擎"" or ""游戏评分"" or ""版权问题"" or ""科技的界限"" or ""玩家权利"" — a noun phrase completing the thematic framing about a single topic.",0.902668,0.194665
REP-001|zh|hanzi#1,REP-001,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,B,S1,S,freedom,,,representation,C1,core,baseline,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,自由,1,25,20,24,110.22610473632812,REP-001|zh|hanzi#1#siteB,REP-001|zh|hanzi#1#siteB#k3,3,"Taiwanese political/religious blog tone with a headline suggesting a book event about Singaporean values and freedom, implying intellectual discussion or reflection.

The phrase ""在最近的一個「世界和平日」大會上，多位學者們對「自由與平等」提出了各自的看法。"" suggests an introduction setup, likely continuing with a collection or summary of perspectives or debates.

Final token ""看法。"" closes a clause (""有關這些話題的討論會中，參與者們就一些基本理念提出了不同看法。""), strongly expecting continuation like ""其中一位"" or ""这位作者提出了一些有趣的观点"" or ""讨论会中涉及多个角度"" or similar.",0.909364,0.181272
REP-002|en|latin#4,REP-002,Qwen/Qwen2.5-7B-Instruct,Qwen,en,A,S1,S,freedom,,,representation,C2,core,baseline,"In class, the teacher used a few everyday examples to help the students understand freedom.",freedom,1,17,20,15,114.99984741210938,REP-002|en|latin#4#siteA,REP-002|en|latin#4#siteA#k1,1,"Educational/structured format with a worksheet or reading prompt context, suggesting an elementary or informal textbook format about a book or concept related to ""freedom.""

The phrase ""An activity about exploring the concept of freedom"" implies a topic or series of questions about concepts like freedom versus constraints, likely an interactive or visual activity about the Constitution or similar.

Final token ""freedom"" ends mid-word (""examined freedom""), part of an incomplete noun phrase (""When discussing about freedom""), strongly expecting continuation like ""and limitations"" or ""of choice"" or ""and its different meanings"" or ""of choice versus punishment,"" completing a thematic or answerable question about the concept being explored.",0.915016,0.169969
REP-002|en|latin#4,REP-002,Qwen/Qwen2.5-7B-Instruct,Qwen,en,B,S1,S,freedom,,,representation,C2,core,baseline,"In class, the teacher used a few everyday examples to help the students understand freedom.",freedom,1,17,20,16,120.4775390625,REP-002|en|latin#4#siteB,REP-002|en|latin#4#siteB#k1,1,"Math format with informal tone (""A teacher uses a jar to explain concepts"") suggests a student activity or quiz question context about values.

The phrase ""Once, a teacher used a jar to illustrate some famous principles from the government. "" signals an introduction implying an enumerated or concrete example list of examples the teacher gave to illustrate moral concepts, likely a story or analogy about fairness or division.

Final token ""concepts. "" closes the introductory clause (""A teacher was teaching values recently, and he used an example from school to explain the government. ""), strongly expecting continuation like ""He gave four items"" or ""The following examples show..."" or ""He explained that..."" or similar activity framing.",0.884392,0.231216
REP-002|zh|hanzi#3,REP-002,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,A,S1,S,freedom,,,representation,C2,core,baseline,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,自由,1,18,20,16,96.71223449707031,REP-002|zh|hanzi#3#siteA,REP-002|zh|hanzi#3#siteA#k4,4,"Hong Kong educational platform format with bilingual text suggesting a literary or educational context, likely a worksheet or quiz item.

The phrase ""從‘自由'開始思考有關自由"" implies a title or concept about ""自由"" (likely a Chinese word or concept), suggesting a question or theme about freedom, liberty, or a series of literary terms connected to the illustration or educational topic.

Final token ""自由"" ends mid-term (""探討自由""), part of an incomplete noun phrase structure (""有關自由""), strongly expecting continuation like ""的意義"" or ""飞翔"" or ""定律"" or ""与束缚"" or ""及权利"" — a word completing the concept of freedom-focused content.",0.899618,0.200764
REP-002|zh|hanzi#3,REP-002,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,B,S1,S,freedom,,,representation,C2,core,baseline,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,自由,1,18,20,17,105.52826690673828,REP-002|zh|hanzi#3#siteB,REP-002|zh|hanzi#3#siteB#k0,0,"Taiwanese-language educational text with an image prompt, suggesting an educational or literary activity context about ""自由"" (freedom).

The phrase ""班上同學玩了一個遊戲，透過一系列生活事例引導他認識自由。"" implies a narrative or introductory sentence establishing a concept about ""自由"" or a series of lessons/activities, likely continuing with specific examples or definitions.

Final token ""自由。"" closes an incomplete clause (""他教學生認識自由。他談到一個概念並介紹了自由""), strongly expecting continuation like ""他發現"" or ""以下是他幾個觀察"" or ""自由不是空談，而是以下几种真实体验"" describing the concept.",0.874028,0.251944
REP-003|en|latin#6,REP-003,Qwen/Qwen2.5-7B-Instruct,Qwen,en,A,S1,S,freedom,,,representation,C3,core,baseline,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.",freedom,1,20,20,15,105.43511199951172,REP-003|en|latin#6#siteA,REP-003|en|latin#6#siteA#k3,3,"Chinese-language literary context with educational platform format suggests a student's writing entry or discussion post, likely discussing Mao and Marx's ideas.

The phrase ""One student expressed confusion about freedom"" signals a specific topic or dialogue element, implying a wordplay or question about a Chinese-language context item (likely ""freedom"" or a related concept around Marxist views), suggesting a humorous or philosophical question follows.

Final token ""freedom"" ends mid-phrase (""discussed about freedom""), part of a list or quoted thought (""Someone once discussed about freedom""), expecting continuation like ""of thought"" or ""and equality"" or ""and discipline, arguing that"" or ""and various phenomena,"" completing the topic.",0.878465,0.243071
REP-003|en|latin#6,REP-003,Qwen/Qwen2.5-7B-Instruct,Qwen,en,B,S1,S,freedom,,,representation,C3,core,baseline,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.",freedom,1,20,20,19,105.90716552734375,REP-003|en|latin#6#siteB,REP-003|en|latin#6#siteB#k0,0,"Chinese language educational context with informal tone (""Philosophical inquiry""), suggesting a scenario or problem setting about social ethics or philosophy.

The phrase ""A student came to the teacher with a difficult question after class, and a student from a different discipline actively sought the teacher's advice."" implies an anecdote or dialogue scenario setup, likely expecting a specific question or response about philosophy content or inquiry behavior.

Final token ""question. "" closes a clause (""A student came to the teacher after class to ask a student about a difficult problem, and the student came with the teacher""), strongly expecting continuation like ""The student said:"" or ""He was asked about..."" or ""The student's question was...""",0.847047,0.305906
REP-003|zh|hanzi#5,REP-003,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,A,S1,S,freedom,,,representation,C3,core,baseline,有位學生下課後留下來，特地跑去問老師關於自由的問題。,自由,1,19,20,15,102.93973541259766,REP-003|zh|hanzi#5#siteA,REP-003|zh|hanzi#5#siteA#k2,2,"Hong Kong school student's literary Taiwanese Chinese article, suggesting a classroom essay or literary discussion context with informal tone.

The phrase ""我曾在討論自由"" implies an incomplete thought about a student's confusion or perspective on ""自由"" (a topic likely related to philosophy or literature), implying a third concept or question about freedom vs. authority or a specific literary concept about free will.

Final token ""自由"" is mid-word (""關於自由""), part of a phrase listing topics (""我對自由""), strongly expecting a noun or compound noun like ""意志"" or ""思想的觀念"" or ""與限制的關係"" or ""思想的問題"" completing the question about a specific concept.",0.91656,0.166879
REP-003|zh|hanzi#5,REP-003,Qwen/Qwen2.5-7B-Instruct,Qwen,zh,B,S1,S,freedom,,,representation,C3,core,baseline,有位學生下課後留下來，特地跑去問老師關於自由的問題。,自由,1,19,20,18,104.64486694335938,REP-003|zh|hanzi#5#siteB,REP-003|zh|hanzi#5#siteB#k1,1,"Taiwanese Buddhist magazine tone with philosophical reflection, implying a student's question about existential or spiritual matters.

The phrase ""有一天，一個學生去聽林清玄的書，一位學生問起佛經的哲理。"" sets up an anecdote structure, strongly implying a specific question or dialogue follows regarding the Buddha's teachings or the student's perspective.

Final token ""的。"" closes a clause (""一個學生去問學校裡一個學生，有關慈悲心的事後尋找問題。一位學生問起佛經。""), immediately expecting subject details like ""他問了"" or ""这位学生提出了一个有趣的问题"" or ""佛经老师回应了他疑惑.""",0.889343,0.221315
REP-004|en|latin#8,REP-004,Qwen/Qwen2.5-7B-Instruct,Qwen,en,A,S1,S,freedom,,,representation,C4,core,baseline,"While a few friends were chatting, the conversation eventually turned to freedom, and they debated it with real enthusiasm.",freedom,1,22,20,12,113.86441802978516,REP-004|en|latin#8#siteA,REP-004|en|latin#8#siteA#k3,3,"Casual, informal tone with a blog post structure suggesting a social media or literary context about a podcast episode.

The phrase ""Recently I've been hearing a lot about freedom"" implies an introductory or thematic question about a topic, likely a book or discussion around freedom, likely paired with another concept or personal opinion about the American lifestyle or existential ideas.

Final token ""freedom"" ends mid-sentence (""around freedom""), part of an implied list or clause phrase (""One conversation focused on freedom""), strongly expecting continuation like ""and oppression,"" ""of thought,"" ""and choice"" or ""and its limits,"" or ""of the human spirit,"" completing the stated topic or narrative.",0.928617,0.142767
