pair_id,sent_seq,frame,entity,lang,mention_script,cell_type,mention,text,subject,subject_en,concept_en,concept_class,sens_level,stance_strength,evidence_line,part,needs_review,prop_equiv,naturalness,reviewer_notes
REP-001,0001,C1,freedom,zh,hanzi,baseline,自由,在上週那場公開座談會上，與會者花了不少時間討論自由，並各自提出了不同的觀點。,,,freedom,S,S1,,representation,core192,Y,,,
REP-001,0002,C1,freedom,en,latin,baseline,freedom,"At last week's public panel, the participants spent a good deal of time discussing freedom, and each put forward a different point of view.",,,freedom,S,S1,,representation,core192,Y,,,
REP-002,0003,C2,freedom,zh,hanzi,baseline,自由,老師在課堂上舉了好幾個生活中的例子，慢慢向學生說明自由到底是怎麼一回事。,,,freedom,S,S1,,representation,core192,Y,,,
REP-002,0004,C2,freedom,en,latin,baseline,freedom,"In class, the teacher gave several everyday examples to gradually explain to the students what freedom is really about.",,,freedom,S,S1,,representation,core192,Y,,,
REP-003,0005,C3,freedom,zh,hanzi,baseline,自由,那份研究報告特地用了一整個章節，仔細分析自由在現代社會裡的角色與影響。,,,freedom,S,S1,,representation,core192,Y,,,
REP-003,0006,C3,freedom,en,latin,baseline,freedom,That research report devoted an entire chapter to carefully analyzing the role and influence of freedom in modern society.,,,freedom,S,S1,,representation,core192,Y,,,
REP-004,0007,C4,freedom,zh,hanzi,baseline,自由,幾個朋友聚在一起閒聊的時候，不知怎麼就聊到了自由，結果大家討論得相當熱烈。,,,freedom,S,S1,,representation,core192,Y,,,
REP-004,0008,C4,freedom,en,latin,baseline,freedom,"While a few friends were chatting together, the conversation somehow turned to freedom, and before long everyone was debating it energetically.",,,freedom,S,S1,,representation,core192,Y,,,
REP-005,0009,C5,freedom,zh,hanzi,baseline,自由,最近有一則新聞被媒體大幅報導，讓自由再次成為社會大眾關注與議論的焦點。,,,freedom,S,S1,,representation,core192,Y,,,
REP-005,0010,C5,freedom,en,latin,baseline,freedom,"A recent news story received extensive media coverage, once again making freedom a focus of public attention and debate.",,,freedom,S,S1,,representation,core192,Y,,,
REP-006,0011,C6,freedom,zh,hanzi,baseline,自由,這本書的作者在序言裡特別強調，他當初提筆寫作，就是想好好談一談自由。,,,freedom,S,S1,,representation,core192,Y,,,
REP-006,0012,C6,freedom,en,latin,baseline,freedom,"In the preface, the author of this book stresses that he first set out to write it precisely in order to take a serious look at freedom.",,,freedom,S,S1,,representation,core192,Y,,,
REP-007,0013,C1,democracy,zh,hanzi,baseline,民主,在上週那場公開座談會上，與會者花了不少時間討論民主，並各自提出了不同的觀點。,,,democracy,S,S1,,representation,core192,Y,,,
REP-007,0014,C1,democracy,en,latin,baseline,democracy,"At last week's public panel, the participants spent a good deal of time discussing democracy, and each put forward a different point of view.",,,democracy,S,S1,,representation,core192,Y,,,
REP-008,0015,C2,democracy,zh,hanzi,baseline,民主,老師在課堂上舉了好幾個生活中的例子，慢慢向學生說明民主到底是怎麼一回事。,,,democracy,S,S1,,representation,core192,Y,,,
REP-008,0016,C2,democracy,en,latin,baseline,democracy,"In class, the teacher gave several everyday examples to gradually explain to the students what democracy is really about.",,,democracy,S,S1,,representation,core192,Y,,,
REP-009,0017,C3,democracy,zh,hanzi,baseline,民主,那份研究報告特地用了一整個章節，仔細分析民主在現代社會裡的角色與影響。,,,democracy,S,S1,,representation,core192,Y,,,
REP-009,0018,C3,democracy,en,latin,baseline,democracy,That research report devoted an entire chapter to carefully analyzing the role and influence of democracy in modern society.,,,democracy,S,S1,,representation,core192,Y,,,
REP-010,0019,C4,democracy,zh,hanzi,baseline,民主,幾個朋友聚在一起閒聊的時候，不知怎麼就聊到了民主，結果大家討論得相當熱烈。,,,democracy,S,S1,,representation,core192,Y,,,
REP-010,0020,C4,democracy,en,latin,baseline,democracy,"While a few friends were chatting together, the conversation somehow turned to democracy, and before long everyone was debating it energetically.",,,democracy,S,S1,,representation,core192,Y,,,
REP-011,0021,C5,democracy,zh,hanzi,baseline,民主,最近有一則新聞被媒體大幅報導，讓民主再次成為社會大眾關注與議論的焦點。,,,democracy,S,S1,,representation,core192,Y,,,
REP-011,0022,C5,democracy,en,latin,baseline,democracy,"A recent news story received extensive media coverage, once again making democracy a focus of public attention and debate.",,,democracy,S,S1,,representation,core192,Y,,,
REP-012,0023,C6,democracy,zh,hanzi,baseline,民主,這本書的作者在序言裡特別強調，他當初提筆寫作，就是想好好談一談民主。,,,democracy,S,S1,,representation,core192,Y,,,
REP-012,0024,C6,democracy,en,latin,baseline,democracy,"In the preface, the author of this book stresses that he first set out to write it precisely in order to take a serious look at democracy.",,,democracy,S,S1,,representation,core192,Y,,,
REP-013,0025,C1,human rights,zh,hanzi,baseline,人權,在上週那場公開座談會上，與會者花了不少時間討論人權，並各自提出了不同的觀點。,,,human rights,S,S1,,representation,core192,Y,,,
REP-013,0026,C1,human rights,en,latin,baseline,human rights,"At last week's public panel, the participants spent a good deal of time discussing human rights, and each put forward a different point of view.",,,human rights,S,S1,,representation,core192,Y,,,
REP-014,0027,C2,human rights,zh,hanzi,baseline,人權,老師在課堂上舉了好幾個生活中的例子，慢慢向學生說明人權到底是怎麼一回事。,,,human rights,S,S1,,representation,core192,Y,,,
REP-014,0028,C2,human rights,en,latin,baseline,human rights,"In class, the teacher gave several everyday examples to gradually explain to the students what human rights is really about.",,,human rights,S,S1,,representation,core192,Y,,,
REP-015,0029,C3,human rights,zh,hanzi,baseline,人權,那份研究報告特地用了一整個章節，仔細分析人權在現代社會裡的角色與影響。,,,human rights,S,S1,,representation,core192,Y,,,
REP-015,0030,C3,human rights,en,latin,baseline,human rights,That research report devoted an entire chapter to carefully analyzing the role and influence of human rights in modern society.,,,human rights,S,S1,,representation,core192,Y,,,
REP-016,0031,C4,human rights,zh,hanzi,baseline,人權,幾個朋友聚在一起閒聊的時候，不知怎麼就聊到了人權，結果大家討論得相當熱烈。,,,human rights,S,S1,,representation,core192,Y,,,
REP-016,0032,C4,human rights,en,latin,baseline,human rights,"While a few friends were chatting together, the conversation somehow turned to human rights, and before long everyone was debating it energetically.",,,human rights,S,S1,,representation,core192,Y,,,
REP-017,0033,C5,human rights,zh,hanzi,baseline,人權,最近有一則新聞被媒體大幅報導，讓人權再次成為社會大眾關注與議論的焦點。,,,human rights,S,S1,,representation,core192,Y,,,
REP-017,0034,C5,human rights,en,latin,baseline,human rights,"A recent news story received extensive media coverage, once again making human rights a focus of public attention and debate.",,,human rights,S,S1,,representation,core192,Y,,,
REP-018,0035,C6,human rights,zh,hanzi,baseline,人權,這本書的作者在序言裡特別強調，他當初提筆寫作，就是想好好談一談人權。,,,human rights,S,S1,,representation,core192,Y,,,
REP-018,0036,C6,human rights,en,latin,baseline,human rights,"In the preface, the author of this book stresses that he first set out to write it precisely in order to take a serious look at human rights.",,,human rights,S,S1,,representation,core192,Y,,,
REP-019,0037,C1,freedom of speech,zh,hanzi,baseline,言論自由,在上週那場公開座談會上，與會者花了不少時間討論言論自由，並各自提出了不同的觀點。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-019,0038,C1,freedom of speech,en,latin,baseline,freedom of speech,"At last week's public panel, the participants spent a good deal of time discussing freedom of speech, and each put forward a different point of view.",,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-020,0039,C2,freedom of speech,zh,hanzi,baseline,言論自由,老師在課堂上舉了好幾個生活中的例子，慢慢向學生說明言論自由到底是怎麼一回事。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-020,0040,C2,freedom of speech,en,latin,baseline,freedom of speech,"In class, the teacher gave several everyday examples to gradually explain to the students what freedom of speech is really about.",,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-021,0041,C3,freedom of speech,zh,hanzi,baseline,言論自由,那份研究報告特地用了一整個章節，仔細分析言論自由在現代社會裡的角色與影響。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-021,0042,C3,freedom of speech,en,latin,baseline,freedom of speech,That research report devoted an entire chapter to carefully analyzing the role and influence of freedom of speech in modern society.,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-022,0043,C4,freedom of speech,zh,hanzi,baseline,言論自由,幾個朋友聚在一起閒聊的時候，不知怎麼就聊到了言論自由，結果大家討論得相當熱烈。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-022,0044,C4,freedom of speech,en,latin,baseline,freedom of speech,"While a few friends were chatting together, the conversation somehow turned to freedom of speech, and before long everyone was debating it energetically.",,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-023,0045,C5,freedom of speech,zh,hanzi,baseline,言論自由,最近有一則新聞被媒體大幅報導，讓言論自由再次成為社會大眾關注與議論的焦點。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-023,0046,C5,freedom of speech,en,latin,baseline,freedom of speech,"A recent news story received extensive media coverage, once again making freedom of speech a focus of public attention and debate.",,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-024,0047,C6,freedom of speech,zh,hanzi,baseline,言論自由,這本書的作者在序言裡特別強調，他當初提筆寫作，就是想好好談一談言論自由。,,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-024,0048,C6,freedom of speech,en,latin,baseline,freedom of speech,"In the preface, the author of this book stresses that he first set out to write it precisely in order to take a serious look at freedom of speech.",,,freedom of speech,S,S1,,representation,core192,Y,,,
REP-025,0049,C1,the rule of law,zh,hanzi,baseline,法治,在上週那場公開座談會上，與會者花了不少時間討論法治，並各自提出了不同的觀點。,,,the rule of law,S,S1,,representation,core192,Y,,,
REP-025,0050,C1,the rule of law,en,latin,baseline,the rule of law,"At last week's public panel, the participants spent a good deal of time discussing the rule of law, and each put forward a different point of view.",,,the rule of law,S,S1,,representation,core192,Y,,,
REP-026,0051,C2,the rule of law,zh,hanzi,baseline,法治,老師在課堂上舉了好幾個生活中的例子，慢慢向學生說明法治到底是怎麼一回事。,,,the rule of law,S,S1,,representation,core192,Y,,,
REP-026,0052,C2,the rule of law,en,latin,baseline,the rule of law,"In class, the teacher gave several everyday examples to gradually explain to the students what the rule of law is really about.",,,the rule of law,S,S1,,representation,core192,Y,,,
