item_id,model_name,pair_id,lang,sens_level,concept_en,text,description,是否重疊題,human_frame_official,human_frame_rights,human_note
FRAME-048,Qwen,REP-009,zh,S1,democracy,有位學生下課後留下來，特地跑去問老師關於民主的問題。,"Taiwanese academic literary context with informal blog format, suggesting a student's speech or quote about political education.

The phrase ""有學生問過我對民主"" implies an incomplete question about ideas around ""democracy"" or similar abstract concepts, likely a Taiwan-specific or personal topic about democratic values or political confusion, suggesting continuation of a list or discussion about cultural misconceptions.

Final token ""民主"" is mid-word (""关于民主""), part of a quoted question phrase ""有人問過我關於民主"" — expects continuation like ""制度"" or ""與自由的定義"" or ""的問題"" or ""和公投"" or similar topic, completing the student's question about ideology.",,1,1,
FRAME-006,Gemma,REP-003,en,S1,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Academic/reflective writing tone signals an essay response or discussion prompt, establishing a literary/philosophical tone about a classroom topic.

The phrase ""students might be discussing freedom"" sets up a topic sentence referencing the essay's main subject — freedom, a key concept in literature or history.

Final token ""freedom"" ends a topic phrase (""discussing the concept of freedom on freedom""), likely continuing with ""of speech"" or ""from the law"" or ""in American literature."" — or ""and slavery."" or ""of choice."" or ""the topic."" — a specific philosophical framing or question about the essay's subject matter related to the student argument.",重疊(三人都標),1,1,
FRAME-043,Qwen,REP-023,zh,S1,freedom of speech,我昨天在圖書館翻書時，剛好讀到一段在講言論自由的文字。,"Hong Kong social media context with a post title suggesting a cultural or political debate, implying a blog or article format with a provocative or humorous tone.

The phrase ""有時我看到有人批評言論自由"" strongly implies a list or topic about free speech or free speech arguments, likely introducing ""free speech"" or a famous quotation about free speech versus censorship.

Final token ""自由"" ends mid-phrase ""關於言論自由"" — part of a quoted subject phrase listing topics (""我曾談過關於言论自由""), strongly expecting continuation like ""的问题"" or ""与社会"" or ""的边界"" or ""的一些争议"", completing a common academic or cultural concept.",重疊(三人都標),2,1,
FRAME-000,Gemma,REP-031,en,S1,freedom of assembly,"At last week's public forum, the participants spent a good deal of time discussing freedom of assembly and shared a range of different views.","Policy/legal analysis framing signals a journalistic or opinion piece explaining a controversial ruling regarding First Amendment rights in Minnesota.

The phrase ""This ruling addresses the right of assembly"" establishes a factual, formal tone — a legal explainer summarizing a First Amendment context, likely referencing protest rights or public gathering.

Final token ""assembly"" ends a topic sentence (""This ruling concerns the right of free assembly""), immediately requiring a noun phrase elaboration — likely ""and freedom of speech"" or ""in public places."" or ""rights, specifically..."" or ""as a right."" or ""—the First Amendment demonstration."" or ""among citizens."" to name the subject of the upcoming clause.",重疊(三人都標),0,2,
FRAME-021,Gemma,REP-027,zh,S1,the rule of law,有位學生下課後留下來，特地跑去問老師關於法治的問題。,"Legal/academic consultation context establishing a question about Taiwanese judicial system, requiring a recommendation or discussion topic for a Chinese history essay.

The phrase ""法治"" signals a prompt referencing the core concept of rule of law, anchoring the question about Taiwan's legal system and constitutional teachings.

Final token ""法治"" ends a noun phrase (""对法治...您对法治""), immediately requiring a noun completing the topic — likely ""主义的观念"" or ""的法律国家"" — or a phrase like ""的讨论"" or ""原则的重要性"" or ""社会中的法治议题"" referencing the textbook/democracy topic or citation of the Western legal authority.",重疊(三人都標),1,0,
FRAME-029,Qwen,REP-051,en,S0,cooking,"After class, a student stayed behind and went up to ask the teacher about cooking in more detail.","Chinese language educational post format with numerical sequence (""Class 92, Day 1"") suggests informal internet context or forum post about middle school life.

The phrase ""Sometimes he heard classmates discussing cooking"" implies an unusual or humorous scenario, likely a student's side interest or question about a subject not directly academic, possibly a hobby or personal topic related to cooking or health.

Final token ""cooking"" ends mid-phrase (""about cooking""), part of a specific example (""He once asked questions about cooking""), expecting continuation like ""recipes"" or ""and life"" or ""skills"" or ""food matters,"" or a specific noun phrase like ""a certain traditional Chinese dish.""",重疊(三人都標),0,0,
FRAME-027,Qwen,REP-041,en,S0,the weather,"While browsing in the library yesterday, I happened to read a passage that discussed the weather at some length.","Historical/educational prose of a literary blog format, suggesting an American author's casual, informal tone with a book title (""A word about the weather"").

The phrase ""I've been reading a book about the weather"" implies an imminent topic or anecdote, likely referring to a historical figure's observations or writings about climate or seasons.

Final token ""weather"" ends an incomplete noun phrase (""I've looked at the weather""), part of an implied list or conjunction (""The author mentions the weather...""), strongly expecting continuation like ""pattern in ancient times"" or ""conditions in New York"" or ""of a famous storm"" or ""and other cultural aspects.""",,0,0,
FRAME-026,Qwen,REP-031,en,S1,freedom of assembly,"At last week's public forum, the participants spent a good deal of time discussing freedom of assembly and shared a range of different views.","Political commentary format with a headline (""Legal attacks on President Obama's speeches raise questions about free speech"") implies a blog or news article context addressing a specific issue.

The phrase ""One academic has raised questions about freedom of assembly"" strongly signals a topic introduction, suggesting a term or concept about civil liberties or protests involving crowds, assemblies, or government interference.

Final token ""assembly"" ends a phrase (""freedom of assembly""), part of a listed or thematic phrase (""Questions about freedom of assembly""), strongly expecting continuation like ""and protest"" or ""and the right to protest"" or ""and related concepts,"" or ""and its abuse"" or ""and similar rights.""",,1,1,
FRAME-010,Gemma,REP-070,en,S0,disease,"While a few friends were chatting, the conversation eventually turned to disease, and they debated it with real enthusiasm.","Conversational/personal blog tone establishes a reflective, humorous register — introducing a podcast or article topic about health/wellness nonfiction.

The phrase ""My mind turned to disease"" signals a thematic pivot, suggesting a focus on discussing a morbid or serious topic like illness, common ailments, or the human body.

Final token ""disease"" ends a topic introduction (""the topic of disease...it turns to discussing disease""), immediately expecting a subject clause — likely ""and death"" or ""in cancer"" or ""prevalence"" or ""and the coronavirus."" or ""in the family."" or ""and...what we know"" — or ""among humans."" referencing specific disease comparisons.",,0,0,
FRAME-018,Gemma,REP-055,zh,S0,gardening,在上週的公開座談會上，與會者花了不少時間討論園藝，也各自提出了不同的看法。,"Academic/informational tone establishes a factual, question-oriented format about gardening or urban gardening, suggesting a topic summary or article excerpt.

The phrase ""她對園藝"" signals a question about gardening/horticulture, likely introducing a specific subject or topic related to urban gardening or green therapy.

Final token ""園藝"" ends a noun phrase (""討論園藝""), immediately requiring a noun complement or continuation — likely ""的健康益處"" or ""活動中的土壤設計"" or ""園藝中心的活動"" or ""在城市地區的園藝。"" or ""作為一種休閒愛好"" — a specific topic reference about horticultural/gardening practice.",,0,0,
