sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
REP-001|zh|hanzi#1,zh,自由,25,17,24,1,
REP-001|en|latin#2,en,freedom,25,16,24,1,
REP-002|zh|hanzi#3,zh,自由,18,16,17,1,
REP-002|en|latin#4,en,freedom,17,15,16,1,
REP-003|zh|hanzi#5,zh,自由,19,15,18,1,
REP-003|en|latin#6,en,freedom,20,15,19,1,
REP-004|zh|hanzi#7,zh,自由,20,12,19,1,
REP-004|en|latin#8,en,freedom,22,12,21,1,
REP-005|zh|hanzi#9,zh,自由,20,17,19,1,
REP-005|en|latin#10,en,freedom,20,15,19,1,
REP-006|zh|hanzi#11,zh,自由,23,21,22,1,
REP-006|en|latin#12,en,freedom,22,18,21,1,
REP-007|zh|hanzi#13,zh,民主,25,17,24,1,
REP-007|en|latin#14,en,democracy,25,16,24,1,
REP-008|zh|hanzi#15,zh,民主,18,16,17,1,
REP-008|en|latin#16,en,democracy,17,15,16,1,
REP-009|zh|hanzi#17,zh,民主,19,15,18,1,
REP-009|en|latin#18,en,democracy,20,15,19,1,
REP-010|zh|hanzi#19,zh,民主,20,12,19,1,
REP-010|en|latin#20,en,democracy,22,12,21,1,
REP-011|zh|hanzi#21,zh,民主,20,17,19,1,
REP-011|en|latin#22,en,democracy,20,15,19,1,
REP-012|zh|hanzi#23,zh,民主,23,21,22,1,
REP-012|en|latin#24,en,democracy,22,18,21,1,
REP-013|zh|hanzi#25,zh,人權,26,18,25,2,
REP-013|en|latin#26,en,human rights,26,17,25,2,
REP-014|zh|hanzi#27,zh,人權,19,17,18,2,
REP-014|en|latin#28,en,human rights,18,16,17,2,
REP-015|zh|hanzi#29,zh,人權,20,16,19,2,
REP-015|en|latin#30,en,human rights,21,16,20,2,
REP-016|zh|hanzi#31,zh,人權,21,13,20,2,
REP-016|en|latin#32,en,human rights,23,13,22,2,
REP-017|zh|hanzi#33,zh,人權,21,18,20,2,
REP-017|en|latin#34,en,human rights,21,16,20,2,
REP-018|zh|hanzi#35,zh,人權,24,22,23,2,
REP-018|en|latin#36,en,human rights,23,19,22,2,
REP-019|zh|hanzi#37,zh,言論自由,27,19,26,3,
REP-019|en|latin#38,en,freedom of speech,27,18,26,3,
REP-020|zh|hanzi#39,zh,言論自由,20,18,19,3,
REP-020|en|latin#40,en,freedom of speech,19,17,18,3,
REP-021|zh|hanzi#41,zh,言論自由,21,17,20,3,
REP-021|en|latin#42,en,freedom of speech,22,17,21,3,
REP-022|zh|hanzi#43,zh,言論自由,22,14,21,3,
REP-022|en|latin#44,en,freedom of speech,24,14,23,3,
REP-023|zh|hanzi#45,zh,言論自由,22,19,21,3,
REP-023|en|latin#46,en,freedom of speech,22,17,21,3,
REP-024|zh|hanzi#47,zh,言論自由,25,23,24,3,
REP-024|en|latin#48,en,freedom of speech,24,20,23,3,
REP-025|zh|hanzi#49,zh,法治,25,17,24,1,
REP-025|en|latin#50,en,the rule of law,28,19,27,4,
REP-026|zh|hanzi#51,zh,法治,18,16,17,1,
REP-026|en|latin#52,en,the rule of law,20,18,19,4,
REP-027|zh|hanzi#53,zh,法治,19,15,18,1,
REP-027|en|latin#54,en,the rule of law,23,18,22,4,
REP-028|zh|hanzi#55,zh,法治,20,12,19,1,
REP-028|en|latin#56,en,the rule of law,25,15,24,4,
REP-029|zh|hanzi#57,zh,法治,20,17,19,1,
REP-029|en|latin#58,en,the rule of law,23,18,22,4,
REP-030|zh|hanzi#59,zh,法治,23,21,22,1,
REP-030|en|latin#60,en,the rule of law,25,21,24,4,
REP-031|zh|hanzi#61,zh,集會自由,27,19,26,3,
REP-031|en|latin#62,en,freedom of assembly,27,18,26,3,
REP-032|zh|hanzi#63,zh,集會自由,20,18,19,3,
REP-032|en|latin#64,en,freedom of assembly,19,17,18,3,
REP-033|zh|hanzi#65,zh,集會自由,21,17,20,3,
REP-033|en|latin#66,en,freedom of assembly,22,17,21,3,
REP-034|zh|hanzi#67,zh,集會自由,22,14,21,3,
REP-034|en|latin#68,en,freedom of assembly,24,14,23,3,
REP-035|zh|hanzi#69,zh,集會自由,22,19,21,3,
REP-035|en|latin#70,en,freedom of assembly,22,17,21,3,
REP-036|zh|hanzi#71,zh,集會自由,25,23,24,3,
REP-036|en|latin#72,en,freedom of assembly,24,20,23,3,
REP-037|zh|hanzi#73,zh,天氣,26,18,25,2,
REP-037|en|latin#74,en,the weather,26,17,25,2,
REP-038|zh|hanzi#75,zh,天氣,19,17,18,2,
REP-038|en|latin#76,en,the weather,18,16,17,2,
REP-039|zh|hanzi#77,zh,天氣,20,16,19,2,
REP-039|en|latin#78,en,the weather,21,16,20,2,
REP-040|zh|hanzi#79,zh,天氣,21,13,20,2,
REP-040|en|latin#80,en,the weather,23,13,22,2,
REP-041|zh|hanzi#81,zh,天氣,21,18,20,2,
REP-041|en|latin#82,en,the weather,21,16,20,2,
REP-042|zh|hanzi#83,zh,天氣,24,22,23,2,
