model_name,pair_id,lang,sens_level,concept_en,text,description,human_frame_official,human_frame_rights,human_note,llm__frame_official,llm__frame_rights,llm__frame_reason
Gemma,REP-031,en,S1,freedom of assembly,"At last week's public forum, the participants spent a good deal of time discussing freedom of assembly and shared a range of different views.","Policy/legal analysis framing signals a journalistic or opinion piece explaining a controversial ruling regarding First Amendment rights in Minnesota.

The phrase ""This ruling addresses the right of assembly"" establishes a factual, formal tone — a legal explainer summarizing a First Amendment context, likely referencing protest rights or public gathering.

Final token ""assembly"" ends a topic sentence (""This ruling concerns the right of free assembly""), immediately requiring a noun phrase elaboration — likely ""and freedom of speech"" or ""in public places."" or ""rights, specifically..."" or ""as a right."" or ""—the First Amendment demonstration."" or ""among citizens."" to name the subject of the upcoming clause.",,,,1,2,描述僅中性提及政策法律分析與法院裁決（輕微體制視角），但反覆以第一修正案、集會權、抗議權等個人權利語彙框定該概念。
Gemma,REP-041,en,S0,the weather,"While browsing in the library yesterday, I happened to read a passage that discussed the weather at some length.","Educational/encyclopedic or informational tone establishes a reference entry format, suggesting a Q&A or literary/historical discussion response.

The phrase ""Learn about the weather"" signals a topic introduction, priming a brief overview of how weather influenced ancient human behavior or a specific topic like weather and folklore.

Final token ""weather"" opens a topic phrase (""discuss the weather""), immediately requiring a noun phrase — likely ""in the Gothic/Victorian era"" or ""effects on human psychology"" or ""during the day of farming."" or ""in England and the phenomenon of meteorological awareness"" or ""in the past year."" — a subject about weather poetry or weather phenomena.",,,,0,0,描述僅談教育／百科語氣與天氣話題的語言延續，完全未涉及國家管控或個人權利視角。
Gemma,REP-044,en,S0,transportation,"In class, the teacher used a few everyday examples to help the students understand transportation.","Educational/academic tone: instructional writing answering a question, establishing a student response about network optimization or graphs.

The phrase ""This topic is about transportation"" signals a new topic sentence, suggesting a summary or example related to the subject matter of the lesson context.

Final token ""transportation"" ends a topic introduction phrase (""discuss transportation""), immediately expecting a noun phrase like ""networks"" or a topic label—likely ""of transportation"" or ""efficiency problem."" or ""in geography/physics"" or ""modes of communication."" or ""related to the concept of graphs."" — likely ""by the distance formula"" or ""of the function.""",,,,0,0,描述僅涉及教學語境、交通主題與圖論／網路最佳化等學科聯想，未出現任何國家管控或個人權利視角。
Gemma,REP-051,en,S0,cooking,"After class, a student stayed behind and went up to ask the teacher about cooking in more detail.","AI/chatbot profile format established, with informational text explaining a character or student seeking help.

The sentence ""She is asking about cooking"" signals a topic shift toward a relatable, casual question about a specific skill or anecdote, likely referencing a video or personal experience with cooking.

Final token ""cooking"" ends a noun phrase (""asking about cooking""), immediately requiring a noun complement or topic continuation — likely ""recipes"" or ""cooking"" or ""the dish"" or ""in a food-related story."" or ""tips"" or ""during her internship."" or ""with the character."" — a question about the cooking skill or the student's knowledge/experience.",,,,0,0,描述僅涉及對話格式、話題轉向烹飪與語法續接預測，完全未提及國家管控或個人權利視角。
Gemma,REP-023,en,S1,freedom of speech,"While browsing in the library yesterday, I happened to read a passage that discussed freedom of speech at some length.","Academic/analytical blog tone established, introducing a discussion about a controversial topic — freedom of speech versus hate speech.

The phrase ""The topic of freedom of speech"" signals a classic introductory framing, priming a reflective essay or argument about First Amendment context in the U.S.

Final token ""speech"" ends a topic-introduction phrase (""discuss the concept of freedom of speech""), immediately expecting elaboration — likely ""in the United States"" or ""and its limits"" or ""being a prickly issue."" or ""as a right."" or ""in the First Amendment."" or ""including the right to criticize"" — a specific elaboration or thesis statement connecting to the historical paradox.",,,,0,1,描述以學術評論語氣框定言論自由議題，僅間接以「權利」「第一修正案」等詞提及權利面向，未涉國家管控視角。
Gemma,REP-055,en,S0,gardening,"At last week's public forum, the participants spent a good deal of time discussing gardening and shared a range of different views.","Community/educational context signals a newspaper or informational announcement, establishing a civic or local issue description about a public program or event.

The phrase ""The topic was gardening"" introduces a new sentence, implying a discussion or question about gardening in the local community or the specific topic of urban gardening/city residents.

Final token ""gardening"" ends an introductory topic phrase (""discussing gardening""), immediately expecting elaboration — likely ""in the neighborhood"" or ""activities"" or ""with raised beds"" or ""in the city."" or ""and the challenges of..."" or ""because it is a popular hobby."" or ""on the property."" — a specific subject or topic statement about gardening practice.",,,,0,0,描述僅提及社區公告與園藝話題的語意預期，未涉及國家管控或個人權利框架。
Gemma,REP-003,en,S1,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Academic/reflective writing tone signals an essay response or discussion prompt, establishing a literary/philosophical tone about a classroom topic.

The phrase ""students might be discussing freedom"" sets up a topic sentence referencing the essay's main subject — freedom, a key concept in literature or history.

Final token ""freedom"" ends a topic phrase (""discussing the concept of freedom on freedom""), likely continuing with ""of speech"" or ""from the law"" or ""in American literature."" — or ""and slavery."" or ""of choice."" or ""the topic."" — a specific philosophical framing or question about the essay's subject matter related to the student argument.",,,,0,1,描述僅將自由當作課堂／文學哲學討論主題，未涉國家管控，僅以「of speech」「from the law」等推測輕微觸及權利面向。
Gemma,REP-057,en,S0,gardening,"After class, a student stayed behind and went up to ask the teacher about gardening in more detail.","Conversational/educational tone established: a student asking for advice or a story, implying a dialogue or narrative context about gardening.

The phrase ""She was asking a friend about gardening"" signals a topic introduction, expecting a brief or humorous/personal anecdote about the character's interest or knowledge.

Final token ""gardening"" ends a topic noun phrase (""about gardening...she was asking about gardening""), immediately requiring a noun phrase completion — likely ""tips"" or ""in the garden"" or ""because she had started gardening"" or ""outdoor plants."" or ""which involves growing vegetables"" or ""or gardening advice."" — a specific subject matter or shared experience.",,,,0,0,描述僅談師生對話與園藝話題的語言預測，完全沒有國家管控或個人權利保障的框架。
Gemma,REP-027,en,S1,the rule of law,"After class, a student stayed behind and went up to ask the teacher about the rule of law in more detail.","Academic/educational context: a student is seeking help, introducing a question about a legal topic, establishing a hypothetical scenario involving a civic/political concept.

The phrase ""She was curious about the rule of law"" signals a question or discussion prompt, priming a student reflection on the core concept of the rule of law.

Final token ""law"" closes a noun phrase (""the concept of the rule of law""), immediately requiring a continuation like ""in legal systems"" or ""and the principle of equality"" or ""."" or ""as a concept."" or ""but it was criticized."" or ""in the judicial system."" — referencing the topic or asking a question about its application.",,,,0,0,描述僅停留在學術／教學語境與語法接續層面，未涉及國家管控或個人權利任一框架。
Gemma,REP-009,en,S1,democracy,"After class, a student stayed behind and went up to ask the teacher about democracy in more detail.","Academic/educational tone signals a discussion or writing prompt, establishing informational context about a student question.

The phrase ""i was taught about democracy"" establishes a topic introduction, implying a personal reflective or essay response about a subject curious student.

Final token ""democracy"" ends a topic phrase (""her thoughts on democracy...on the topic of democracy""), requiring a noun phrase continuation — likely ""and democracy"" or ""in the classroom"" or ""voting."" or ""as a concept."" or ""or democratic system."" or ""by the citizens."" — a specific question or topic statement about the theoretical or practical experience of democracy/democracy in their country.",,,,0,0,描述僅談學術／課堂語境與詞語接續預測，未涉及國家管控視角，也未涉及個人權利保障視角。
Gemma,REP-070,en,S0,disease,"While a few friends were chatting, the conversation eventually turned to disease, and they debated it with real enthusiasm.","Conversational/personal blog tone establishes a reflective, humorous register — introducing a podcast or article topic about health/wellness nonfiction.

The phrase ""My mind turned to disease"" signals a thematic pivot, suggesting a focus on discussing a morbid or serious topic like illness, common ailments, or the human body.

Final token ""disease"" ends a topic introduction (""the topic of disease...it turns to discussing disease""), immediately expecting a subject clause — likely ""and death"" or ""in cancer"" or ""prevalence"" or ""and the coronavirus."" or ""in the family."" or ""and...what we know"" — or ""among humans."" referencing specific disease comparisons.",,,,0,0,描述僅圍繞閒聊語氣與疾病話題的後續詞語預測，未涉及國家管控或個人權利任何視角。
Gemma,REP-014,en,S1,human rights,"In class, the teacher used a few everyday examples to help the students understand human rights.","Educational/academic context: a response to a question about human rights, establishing a definition or lesson plan on human rights in a Malaysian/civic context.

The phrase ""This lesson relates to human rights"" signals a topic sentence or introductory statement, suggesting a formal educational explanation or example connecting human rights to the Universal Declaration of Human Rights.

Final token ""human rights"" ends a topic phrase (""discusses human rights...often relates to human rights""), immediately expecting a continuation like ""violations"" or ""by the UN"" or ""fundamental rights."" or ""– such as..."" — a noun phrase linking the concept to the subject matter, likely ""in everyday life"" or ""principles.""",,,,0,2,描述完全以人權概念、世界人權宣言與公民教育課程為框架，無任何國家管控視角。
