item_id,model_name,pair_id,lang,sens_level,concept_en,text,description,是否重疊題,human_frame_official,human_frame_rights,human_note
FRAME-001,Gemma,REP-041,en,S0,the weather,"While browsing in the library yesterday, I happened to read a passage that discussed the weather at some length.","Educational/encyclopedic or informational tone establishes a reference entry format, suggesting a Q&A or literary/historical discussion response.

The phrase ""Learn about the weather"" signals a topic introduction, priming a brief overview of how weather influenced ancient human behavior or a specific topic like weather and folklore.

Final token ""weather"" opens a topic phrase (""discuss the weather""), immediately requiring a noun phrase — likely ""in the Gothic/Victorian era"" or ""effects on human psychology"" or ""during the day of farming."" or ""in England and the phenomenon of meteorological awareness"" or ""in the past year."" — a subject about weather poetry or weather phenomena.",重疊(三人都標),,,
FRAME-006,Gemma,REP-003,en,S1,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Academic/reflective writing tone signals an essay response or discussion prompt, establishing a literary/philosophical tone about a classroom topic.

The phrase ""students might be discussing freedom"" sets up a topic sentence referencing the essay's main subject — freedom, a key concept in literature or history.

Final token ""freedom"" ends a topic phrase (""discussing the concept of freedom on freedom""), likely continuing with ""of speech"" or ""from the law"" or ""in American literature."" — or ""and slavery."" or ""of choice."" or ""the topic."" — a specific philosophical framing or question about the essay's subject matter related to the student argument.",重疊(三人都標),,,
FRAME-016,Gemma,REP-051,zh,S0,cooking,有位學生下課後留下來，特地跑去問老師關於烹飪的問題。,"Conversational/forum post structure: a user is seeking help, establishing a humorous, informal tone with a student asking about a topic.

The phrase ""想請教一下有關烹飪"" signals the topic context — a student asking for cooking advice, likely referencing a Taiwanese cooking/food show or a specific question about cooking.

Final token ""烹飪"" ends a noun phrase (""對烹飪...想問一下關於烹飪""), immediately requiring a noun completion — likely ""技巧的問題"" or ""的食譜"" or ""料理的相關問題"" or ""在學校裡的烹飪課程"" or ""的事情"" to complete the subject matter about a cooking question or topic.",,,,
FRAME-051,Qwen,REP-067,zh,S0,disease,在上週的公開座談會上，與會者花了不少時間討論疾病，也各自提出了不同的看法。,"Hong Kong media article tone with headline-style framing (""科技公司樂見Healthcare數碼化""), suggesting an interview or editorial article about Singapore's biotech or pharmaceutical content.

The phrase ""他形容研究是關於疾病"" implies an incomplete clause or enumerated topics, likely referencing broader concerns or attitudes around health, AI, or consumerism, possibly a quote about public perception of vaccines.

Final token ""疾病"" is mid-word or mid-phrase (""關於疾病""), part of a vague noun phrase (""提及疾病""), strongly expecting continuation like ""预防"" or ""负担的透明度"" or ""疫苗研发"" or ""与死亡率的关系"" or ""相关议题的讨论"".",,,,
FRAME-014,Gemma,REP-041,zh,S0,the weather,我昨天在圖書館翻書時，剛好讀到一段在講天氣的文字。,"Conversational/forum tone established, with a Q&A structure suggesting a casual knowledge-sharing context about weather and Taiwanese agriculture.

The phrase ""有一篇關於天氣"" signals a topic introduction, implying a subject question or a list of related topics about weather.

Final token ""天氣"" opens a topic phrase (""關於天氣...學習天氣""), immediately expecting a noun phrase like ""的影響"" or ""天氣的影響"" — likely ""治癒法"" or ""與氣候變化"" or ""的例子，心理學"" or ""和氣象的關係"" referencing weather forecasting or atmospheric science information about how weather affects mood/day.",,,,
FRAME-043,Qwen,REP-023,zh,S1,freedom of speech,我昨天在圖書館翻書時，剛好讀到一段在講言論自由的文字。,"Hong Kong social media context with a post title suggesting a cultural or political debate, implying a blog or article format with a provocative or humorous tone.

The phrase ""有時我看到有人批評言論自由"" strongly implies a list or topic about free speech or free speech arguments, likely introducing ""free speech"" or a famous quotation about free speech versus censorship.

Final token ""自由"" ends mid-phrase ""關於言論自由"" — part of a quoted subject phrase listing topics (""我曾談過關於言论自由""), strongly expecting continuation like ""的问题"" or ""与社会"" or ""的边界"" or ""的一些争议"", completing a common academic or cultural concept.",重疊(三人都標),,,
FRAME-002,Gemma,REP-044,en,S0,transportation,"In class, the teacher used a few everyday examples to help the students understand transportation.","Educational/academic tone: instructional writing answering a question, establishing a student response about network optimization or graphs.

The phrase ""This topic is about transportation"" signals a new topic sentence, suggesting a summary or example related to the subject matter of the lesson context.

Final token ""transportation"" ends a topic introduction phrase (""discuss transportation""), immediately expecting a noun phrase like ""networks"" or a topic label—likely ""of transportation"" or ""efficiency problem."" or ""in geography/physics"" or ""modes of communication."" or ""related to the concept of graphs."" — likely ""by the distance formula"" or ""of the function.""",重疊(三人都標),,,
FRAME-025,Gemma,REP-067,zh,S0,disease,在上週的公開座談會上，與會者花了不少時間討論疾病，也各自提出了不同的看法。,"Academic/professional article structure signals a research or policy commentary, establishing a new book/publication context around healthcare innovation and disability.

The phrase ""一种新方法来定义疾病"" introduces a topic statement, implying a cited or summarized discussion on healthcare disparities and the COVID-19 pandemic.

Final token ""疾病"" opens a noun phrase (""疾病...包括疾病""), immediately requiring a noun or topic phrase — likely ""医疗成本"" or ""在慢性病护理中的生物医学伦理"" or ""的健康结果"" or ""治疗指南的价值框架"" or ""保险中的疾病"" — a specific topic or citation subject referencing the biopsychosocial/healthcare burden.",,,,
FRAME-029,Qwen,REP-051,en,S0,cooking,"After class, a student stayed behind and went up to ask the teacher about cooking in more detail.","Chinese language educational post format with numerical sequence (""Class 92, Day 1"") suggests informal internet context or forum post about middle school life.

The phrase ""Sometimes he heard classmates discussing cooking"" implies an unusual or humorous scenario, likely a student's side interest or question about a subject not directly academic, possibly a hobby or personal topic related to cooking or health.

Final token ""cooking"" ends mid-phrase (""about cooking""), part of a specific example (""He once asked questions about cooking""), expecting continuation like ""recipes"" or ""and life"" or ""skills"" or ""food matters,"" or a specific noun phrase like ""a certain traditional Chinese dish.""",重疊(三人都標),,,
FRAME-030,Qwen,REP-023,en,S1,freedom of speech,"While browsing in the library yesterday, I happened to read a passage that discussed freedom of speech at some length.","Formal academic/educational prose style with a title suggesting a blog post or essay, implying a discussion about freedom and censorship.

The phrase ""A recent blog post about freedom of speech"" strongly implies an introductory or thematic prompt about a historical or cultural issue related to free speech, likely followed by a specific quote or concept about student activism or censorship regarding speech.

Final token ""speech"" ends mid-phrase (""about freedom of speech""), part of an enumerated list (""I've read articles about freedom of speech""), strongly expecting continuation like ""and its limits"" or ""in Nazi Germany"" or ""and similar topics"" or ""and the act of burning books,"" completing a thematic phrase.",重疊(三人都標),,,
