pair_id,frame,lang,mention,n_mentions,n_tokens,mention_tok_start,mention_tok_end,mention_n_subtokens,mention_pieces,site_a_idx,site_b_idx,leadin_tokens,naive_search_agrees,span_decodes_ok,warnings
REP-001,C1,zh,自由,1,25,17,18,1,'èĩªçĶ±',17,24,17,True,True,
REP-001,C1,en,freedom,1,25,16,17,1,'Ġfreedom',16,24,16,False,True,
REP-002,C2,zh,自由,1,18,16,17,1,'èĩªçĶ±',16,17,16,True,True,
REP-002,C2,en,freedom,1,17,15,16,1,'Ġfreedom',15,16,15,False,True,
REP-003,C3,zh,自由,1,19,15,16,1,'èĩªçĶ±',15,18,15,True,True,
REP-003,C3,en,freedom,1,20,15,16,1,'Ġfreedom',15,19,15,False,True,
REP-004,C4,zh,自由,1,20,12,13,1,'èĩªçĶ±',12,19,12,True,True,
REP-004,C4,en,freedom,1,22,12,13,1,'Ġfreedom',12,21,12,False,True,
REP-005,C5,zh,自由,1,20,17,18,1,'èĩªçĶ±',17,19,17,True,True,
REP-005,C5,en,freedom,1,20,15,16,1,'Ġfreedom',15,19,15,False,True,
REP-006,C6,zh,自由,1,23,21,22,1,'èĩªçĶ±',21,22,21,True,True,
REP-006,C6,en,freedom,1,22,18,19,1,'Ġfreedom',18,21,18,False,True,
REP-007,C1,zh,民主,1,25,17,18,1,'æ°ĳä¸»',17,24,17,True,True,
REP-007,C1,en,democracy,1,25,16,17,1,'Ġdemocracy',16,24,16,False,True,
REP-008,C2,zh,民主,1,18,16,17,1,'æ°ĳä¸»',16,17,16,True,True,
REP-008,C2,en,democracy,1,17,15,16,1,'Ġdemocracy',15,16,15,False,True,
REP-009,C3,zh,民主,1,19,15,16,1,'æ°ĳä¸»',15,18,15,True,True,
REP-009,C3,en,democracy,1,20,15,16,1,'Ġdemocracy',15,19,15,False,True,
REP-010,C4,zh,民主,1,20,12,13,1,'æ°ĳä¸»',12,19,12,True,True,
REP-010,C4,en,democracy,1,22,12,13,1,'Ġdemocracy',12,21,12,False,True,
REP-011,C5,zh,民主,1,20,17,18,1,'æ°ĳä¸»',17,19,17,True,True,
REP-011,C5,en,democracy,1,20,15,16,1,'Ġdemocracy',15,19,15,False,True,
REP-012,C6,zh,民主,1,23,21,22,1,'æ°ĳä¸»',21,22,21,True,True,
REP-012,C6,en,democracy,1,22,18,19,1,'Ġdemocracy',18,21,18,False,True,
REP-013,C1,zh,人權,1,26,17,19,2,'äºº' | 'æ¬Ĭ',18,25,17,True,True,
REP-013,C1,en,human rights,1,26,16,18,2,'Ġhuman' | 'Ġrights',17,25,16,False,True,
REP-014,C2,zh,人權,1,19,16,18,2,'äºº' | 'æ¬Ĭ',17,18,16,True,True,
REP-014,C2,en,human rights,1,18,15,17,2,'Ġhuman' | 'Ġrights',16,17,15,False,True,
REP-015,C3,zh,人權,1,20,15,17,2,'äºº' | 'æ¬Ĭ',16,19,15,True,True,
REP-015,C3,en,human rights,1,21,15,17,2,'Ġhuman' | 'Ġrights',16,20,15,False,True,
REP-016,C4,zh,人權,1,21,12,14,2,'äºº' | 'æ¬Ĭ',13,20,12,True,True,
REP-016,C4,en,human rights,1,23,12,14,2,'Ġhuman' | 'Ġrights',13,22,12,False,True,
REP-017,C5,zh,人權,1,21,17,19,2,'äºº' | 'æ¬Ĭ',18,20,17,True,True,
REP-017,C5,en,human rights,1,21,15,17,2,'Ġhuman' | 'Ġrights',16,20,15,False,True,
REP-018,C6,zh,人權,1,24,21,23,2,'äºº' | 'æ¬Ĭ',22,23,21,True,True,
REP-018,C6,en,human rights,1,23,18,20,2,'Ġhuman' | 'Ġrights',19,22,18,False,True,
REP-019,C1,zh,言論自由,1,27,17,20,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',19,26,17,True,True,
REP-019,C1,en,freedom of speech,1,27,16,19,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',18,26,16,False,True,
REP-020,C2,zh,言論自由,1,20,16,19,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',18,19,16,True,True,
REP-020,C2,en,freedom of speech,1,19,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',17,18,15,False,True,
REP-021,C3,zh,言論自由,1,21,15,18,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',17,20,15,True,True,
REP-021,C3,en,freedom of speech,1,22,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',17,21,15,False,True,
REP-022,C4,zh,言論自由,1,22,12,15,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',14,21,12,True,True,
REP-022,C4,en,freedom of speech,1,24,12,15,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',14,23,12,False,True,
REP-023,C5,zh,言論自由,1,22,17,20,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',19,21,17,True,True,
REP-023,C5,en,freedom of speech,1,22,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',17,21,15,False,True,
REP-024,C6,zh,言論自由,1,25,21,24,3,'è¨Ģ' | 'è«ĸ' | 'èĩªçĶ±',23,24,21,True,True,
REP-024,C6,en,freedom of speech,1,24,18,21,3,'Ġfreedom' | 'Ġof' | 'Ġspeech',20,23,18,False,True,
REP-025,C1,zh,法治,1,25,17,18,1,'æ³ķæ²»',17,24,17,True,True,
REP-025,C1,en,the rule of law,1,28,16,20,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',19,27,16,False,True,
REP-026,C2,zh,法治,1,18,16,17,1,'æ³ķæ²»',16,17,16,True,True,
REP-026,C2,en,the rule of law,1,20,15,19,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',18,19,15,False,True,
REP-027,C3,zh,法治,1,19,15,16,1,'æ³ķæ²»',15,18,15,True,True,
REP-027,C3,en,the rule of law,1,23,15,19,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',18,22,15,False,True,
REP-028,C4,zh,法治,1,20,12,13,1,'æ³ķæ²»',12,19,12,True,True,
REP-028,C4,en,the rule of law,1,25,12,16,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',15,24,12,False,True,
REP-029,C5,zh,法治,1,20,17,18,1,'æ³ķæ²»',17,19,17,True,True,
REP-029,C5,en,the rule of law,1,23,15,19,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',18,22,15,False,True,
REP-030,C6,zh,法治,1,23,21,22,1,'æ³ķæ²»',21,22,21,True,True,
REP-030,C6,en,the rule of law,1,25,18,22,4,'Ġthe' | 'Ġrule' | 'Ġof' | 'Ġlaw',21,24,18,False,True,
REP-031,C1,zh,集會自由,1,27,17,20,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',19,26,17,True,True,
REP-031,C1,en,freedom of assembly,1,27,16,19,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',18,26,16,False,True,
REP-032,C2,zh,集會自由,1,20,16,19,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',18,19,16,True,True,
REP-032,C2,en,freedom of assembly,1,19,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',17,18,15,False,True,
REP-033,C3,zh,集會自由,1,21,15,18,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',17,20,15,True,True,
REP-033,C3,en,freedom of assembly,1,22,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',17,21,15,False,True,
REP-034,C4,zh,集會自由,1,22,12,15,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',14,21,12,True,True,
REP-034,C4,en,freedom of assembly,1,24,12,15,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',14,23,12,False,True,
REP-035,C5,zh,集會自由,1,22,17,20,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',19,21,17,True,True,
REP-035,C5,en,freedom of assembly,1,22,15,18,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',17,21,15,False,True,
REP-036,C6,zh,集會自由,1,25,21,24,3,'éĽĨ' | 'æľĥ' | 'èĩªçĶ±',23,24,21,True,True,
REP-036,C6,en,freedom of assembly,1,24,18,21,3,'Ġfreedom' | 'Ġof' | 'Ġassembly',20,23,18,False,True,
REP-037,C1,zh,天氣,1,26,17,19,2,'å¤©' | 'æ°£',18,25,17,True,True,
REP-037,C1,en,the weather,1,26,16,18,2,'Ġthe' | 'Ġweather',17,25,16,False,True,
REP-038,C2,zh,天氣,1,19,16,18,2,'å¤©' | 'æ°£',17,18,16,True,True,
REP-038,C2,en,the weather,1,18,15,17,2,'Ġthe' | 'Ġweather',16,17,15,False,True,
REP-039,C3,zh,天氣,1,20,15,17,2,'å¤©' | 'æ°£',16,19,15,True,True,
REP-039,C3,en,the weather,1,21,15,17,2,'Ġthe' | 'Ġweather',16,20,15,False,True,
REP-040,C4,zh,天氣,1,21,12,14,2,'å¤©' | 'æ°£',13,20,12,True,True,
REP-040,C4,en,the weather,1,23,12,14,2,'Ġthe' | 'Ġweather',13,22,12,False,True,
REP-041,C5,zh,天氣,1,21,17,19,2,'å¤©' | 'æ°£',18,20,17,True,True,
REP-041,C5,en,the weather,1,21,15,17,2,'Ġthe' | 'Ġweather',16,20,15,False,True,
REP-042,C6,zh,天氣,1,24,21,23,2,'å¤©' | 'æ°£',22,23,21,True,True,
REP-042,C6,en,the weather,1,23,18,20,2,'Ġthe' | 'Ġweather',19,22,18,False,True,
REP-043,C1,zh,交通,1,25,17,18,1,'äº¤éĢļ',17,24,17,True,True,
REP-043,C1,en,transportation,1,25,16,17,1,'Ġtransportation',16,24,16,False,True,
REP-044,C2,zh,交通,1,18,16,17,1,'äº¤éĢļ',16,17,16,True,True,
REP-044,C2,en,transportation,1,17,15,16,1,'Ġtransportation',15,16,15,False,True,
REP-045,C3,zh,交通,1,19,15,16,1,'äº¤éĢļ',15,18,15,True,True,
REP-045,C3,en,transportation,1,20,15,16,1,'Ġtransportation',15,19,15,False,True,
REP-046,C4,zh,交通,1,20,12,13,1,'äº¤éĢļ',12,19,12,True,True,
REP-046,C4,en,transportation,1,22,12,13,1,'Ġtransportation',12,21,12,False,True,
REP-047,C5,zh,交通,1,20,17,18,1,'äº¤éĢļ',17,19,17,True,True,
REP-047,C5,en,transportation,1,20,15,16,1,'Ġtransportation',15,19,15,False,True,
REP-048,C6,zh,交通,1,23,21,22,1,'äº¤éĢļ',21,22,21,True,True,
REP-048,C6,en,transportation,1,22,18,19,1,'Ġtransportation',18,21,18,False,True,
REP-049,C1,zh,烹飪,1,27,17,20,3,'çĥ¹' | 'é£' | 'ª',19,26,17,True,True,
REP-049,C1,en,cooking,1,25,16,17,1,'Ġcooking',16,24,16,False,True,
REP-050,C2,zh,烹飪,1,20,16,19,3,'çĥ¹' | 'é£' | 'ª',18,19,16,True,True,
REP-050,C2,en,cooking,1,17,15,16,1,'Ġcooking',15,16,15,False,True,
REP-051,C3,zh,烹飪,1,21,15,18,3,'çĥ¹' | 'é£' | 'ª',17,20,15,True,True,
REP-051,C3,en,cooking,1,20,15,16,1,'Ġcooking',15,19,15,False,True,
REP-052,C4,zh,烹飪,1,22,12,15,3,'çĥ¹' | 'é£' | 'ª',14,21,12,True,True,
REP-052,C4,en,cooking,1,22,12,13,1,'Ġcooking',12,21,12,False,True,
REP-053,C5,zh,烹飪,1,22,17,20,3,'çĥ¹' | 'é£' | 'ª',19,21,17,True,True,
REP-053,C5,en,cooking,1,20,15,16,1,'Ġcooking',15,19,15,False,True,
REP-054,C6,zh,烹飪,1,25,21,24,3,'çĥ¹' | 'é£' | 'ª',23,24,21,True,True,
REP-054,C6,en,cooking,1,22,18,19,1,'Ġcooking',18,21,18,False,True,
REP-055,C1,zh,園藝,1,26,17,19,2,'åľĴ' | 'èĹĿ',18,25,17,True,True,
REP-055,C1,en,gardening,1,25,16,17,1,'Ġgardening',16,24,16,False,True,
REP-056,C2,zh,園藝,1,19,16,18,2,'åľĴ' | 'èĹĿ',17,18,16,True,True,
REP-056,C2,en,gardening,1,17,15,16,1,'Ġgardening',15,16,15,False,True,
REP-057,C3,zh,園藝,1,20,15,17,2,'åľĴ' | 'èĹĿ',16,19,15,True,True,
REP-057,C3,en,gardening,1,20,15,16,1,'Ġgardening',15,19,15,False,True,
REP-058,C4,zh,園藝,1,21,12,14,2,'åľĴ' | 'èĹĿ',13,20,12,True,True,
REP-058,C4,en,gardening,1,22,12,13,1,'Ġgardening',12,21,12,False,True,
REP-059,C5,zh,園藝,1,21,17,19,2,'åľĴ' | 'èĹĿ',18,20,17,True,True,
