model_name,pair_id,lang,sens_level,concept_class,concept_en,frame,text,description,desc_lang,prompt_leak_span,faith_cos,faith_pass,frame_official,frame_rights,frame_reason
Qwen,REP-001,en,S1,S,freedom,C1,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.","Blog post format with political commentary, suggesting a Texas newspaper column or conservative writer's perspective introducing a book or political issue.

The phrase ""Recently I've been thinking about freedom"" implies an introductory or thematic list or argument about a specific topic related to the 2012 election, likely referencing ""originalism"" or ""religious liberties"" or similar concepts about constitutional freedom.

Final token ""freedom"" is mid-phrase (""I've been thinking about freedom""), part of an implied list or topic introduction structure (""The discussion centers around freedom""), strongly expecting a noun phrase like ""of speech,"" ""and religion,"" or ""of choice versus control,"" or ""and its limits.""",en,0,0.925497,True,1,2,描述中提到的自由與不同觀點的討論明顯涉及個人權利的保障，而政治評論的背景則輕微提及了國家或體制的視角。
Qwen,REP-001,zh,S1,S,freedom,C1,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,"Hong Kong gaming news site tone with localized terminology (""PSA"") suggests an article about Xbox games, likely discussing copyright or systemic issues around PC gaming.

The phrase ""本文討論自由"" implies an incomplete noun phrase or concept, likely a topic about a specific game or cultural debate around ""自由"" (freedom) or another aspect, suggesting continuation of a list or title context.

Final token ""自由"" is mid-word (""關於自由""), part of a noun phrase (""有關自由""), likely continuing with ""引擎"" or ""游戏评分"" or ""版权问题"" or ""科技的界限"" or ""玩家权利"" — a noun phrase completing the thematic framing about a single topic.",en,0,0.902668,True,1,1,描述中提到的自由可能涉及政府或制度的討論，但並未明確強調管控視角；同時，提到自由的討論也暗示了個人權利的考量，但同樣不夠明顯。
Qwen,REP-002,en,S1,S,freedom,C2,"In class, the teacher used a few everyday examples to help the students understand freedom.","Educational/structured format with a worksheet or reading prompt context, suggesting an elementary or informal textbook format about a book or concept related to ""freedom.""

The phrase ""An activity about exploring the concept of freedom"" implies a topic or series of questions about concepts like freedom versus constraints, likely an interactive or visual activity about the Constitution or similar.

Final token ""freedom"" ends mid-word (""examined freedom""), part of an incomplete noun phrase (""When discussing about freedom""), strongly expecting continuation like ""and limitations"" or ""of choice"" or ""and its different meanings"" or ""of choice versus punishment,"" completing a thematic or answerable question about the concept being explored.",en,0,0.915016,True,0,2,描述明顯以權利視角敘事，聚焦於自由的概念及其探索。
Qwen,REP-002,zh,S1,S,freedom,C2,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,"Hong Kong educational platform format with bilingual text suggesting a literary or educational context, likely a worksheet or quiz item.

The phrase ""從‘自由'開始思考有關自由"" implies a title or concept about ""自由"" (likely a Chinese word or concept), suggesting a question or theme about freedom, liberty, or a series of literary terms connected to the illustration or educational topic.

Final token ""自由"" ends mid-term (""探討自由""), part of an incomplete noun phrase structure (""有關自由""), strongly expecting continuation like ""的意義"" or ""飞翔"" or ""定律"" or ""与束缚"" or ""及权利"" — a word completing the concept of freedom-focused content.",en,0,0.899618,True,0,2,描述中強調了自由的概念，明顯以權利視角敘事，涉及自由和個人權利的認識。
Qwen,REP-003,en,S1,S,freedom,C3,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Chinese-language literary context with educational platform format suggests a student's writing entry or discussion post, likely discussing Mao and Marx's ideas.

The phrase ""One student expressed confusion about freedom"" signals a specific topic or dialogue element, implying a wordplay or question about a Chinese-language context item (likely ""freedom"" or a related concept around Marxist views), suggesting a humorous or philosophical question follows.

Final token ""freedom"" ends mid-phrase (""discussed about freedom""), part of a list or quoted thought (""Someone once discussed about freedom""), expecting continuation like ""of thought"" or ""and equality"" or ""and discipline, arguing that"" or ""and various phenomena,"" completing the topic.",en,14,0.878465,True,1,2,描述中提到的自由與馬克思主義的關聯，暗示了對個人自由的探討，且有輕微的政治背景，但主要聚焦於個人權利的討論。
Qwen,REP-003,zh,S1,S,freedom,C3,有位學生下課後留下來，特地跑去問老師關於自由的問題。,"Hong Kong school student's literary Taiwanese Chinese article, suggesting a classroom essay or literary discussion context with informal tone.

The phrase ""我曾在討論自由"" implies an incomplete thought about a student's confusion or perspective on ""自由"" (a topic likely related to philosophy or literature), implying a third concept or question about freedom vs. authority or a specific literary concept about free will.

Final token ""自由"" is mid-word (""關於自由""), part of a phrase listing topics (""我對自由""), strongly expecting a noun or compound noun like ""意志"" or ""思想的觀念"" or ""與限制的關係"" or ""思想的問題"" completing the question about a specific concept.",en,0,0.91656,True,1,1,描述中提到自由的問題，暗示了對於權威和自由的思考，但並未明顯強調國家或體制的管控視角，也輕微提及了個人自由的概念。
Qwen,REP-004,en,S1,S,freedom,C4,"While a few friends were chatting, the conversation eventually turned to freedom, and they debated it with real enthusiasm.","Casual, informal tone with a blog post structure suggesting a social media or literary context about a podcast episode.

The phrase ""Recently I've been hearing a lot about freedom"" implies an introductory or thematic question about a topic, likely a book or discussion around freedom, likely paired with another concept or personal opinion about the American lifestyle or existential ideas.

Final token ""freedom"" ends mid-sentence (""around freedom""), part of an implied list or clause phrase (""One conversation focused on freedom""), strongly expecting continuation like ""and oppression,"" ""of thought,"" ""and choice"" or ""and its limits,"" or ""of the human spirit,"" completing the stated topic or narrative.",en,15,0.928617,True,0,2,描述中提到的自由明顯以個人權利和自由保障的視角來框定，強調了對自由的熱烈討論。
Qwen,REP-004,zh,S1,S,freedom,C4,幾個朋友聚在一起聊天時，不知不覺就聊到了自由，討論得相當熱烈。,"Hong Kong Chinese language context with casual social media style (""日記：關於自由""), suggesting a literary or blog post format with an implied topic about emotions or lifestyle.

The phrase ""有時我對自由"" implies a title or concept introduction, likely listing or discussing ""freedom"" or a related abstract noun, possibly a cultural or literary theme around freedom or boredom.

Final token ""自由"" is mid-word (""關於自由""), part of an opening topic claim phrase (""我常思考關於自由""), strongly expecting continuation like ""意志"" or ""生活"" or ""的問題"" or ""主义与束缚"" or ""钱和人生"" — a noun phrase completing the theme.",en,0,0.923255,True,0,2,描述中提到的自由明顯以個人權利／自由保障的視角來框定，強調了自由的情感和生活主題。
Qwen,REP-005,en,S1,S,freedom,C5,"While browsing in the library yesterday, I happened to read a passage that discussed freedom at some length.","Blog format with academic/educational tone suggesting a literary or cultural commentary post about Thomas Jefferson, likely a book or essay title.

The phrase ""Recently I've been thinking about freedom"" strongly implies an introductory or thematic list structure, likely exploring a specific concept related to the Declaration of Independence or religious/political thought, signaling that ""freedom"" or similar theme is being addressed.

Final token ""freedom"" is mid-phrase in ""I have thought about freedom,"" part of an undefined noun list (""One talk focused on freedom""), expecting continuation like ""of thought"" or ""and slavery"" or ""as a virtue"" or ""of choice versus constraint,"" completing a quoted argument about the topic.",en,0,0.937709,True,0,2,描述中提到的'freedom'明顯以個人權利和自由保障的視角來框定，強調了自由的概念。
Qwen,REP-005,zh,S1,S,freedom,C5,我昨天在圖書館翻書時，剛好讀到一段在講自由的文字。,"Hong Kong literary/educational context with informal tone suggesting a poem or essay title about media culture, likely referencing a Singaporean or Asian intellectual perspective.

The phrase ""有次我讀到關於自由"" implies an incomplete phrase introducing a topic about a book or concept, strongly implying a noun like ""自由意志"" or ""思想"" or ""恋爱与限制"" or similar philosophical theme.

Final token ""自由"" is mid-phrase (""關於自由""), part of a quoted or listed concept clause (""有關著關於自由""), expecting continuation like ""意志"" or ""的權限"" or ""经济学"" or ""和死亡"" or ""的概念"", completing the author's thematic question.",en,0,0.925953,True,0,2,描述中提到的'自由'明顯以個人權利和自由保障的視角來框定。
