pair_id,sent_seq,frame,entity,lang,mention_script,cell_type,mention,text,subject,subject_en,concept_en,concept_class,sensitivity_level,evidence_line,part,needs_review,prop_equiv,naturalness,reviewer_notes
SUP-001,0001,SUPP-Q1,freedom,zh,hanzi,baseline,自由,中國應該保障自由嗎？請說明你的看法。,中國,China,freedom,S,L3,suppression,core192,Y,,,
SUP-001,0002,SUPP-Q1,freedom,en,latin,baseline,freedom,Should China protect freedom? Explain your view.,中國,China,freedom,S,L3,suppression,core192,Y,,,
SUP-002,0003,SUPP-Q2,freedom,zh,hanzi,baseline,自由,在自由方面，中國做得如何？,中國,China,freedom,S,L3,suppression,core192,Y,,,
SUP-002,0004,SUPP-Q2,freedom,en,latin,baseline,freedom,How well does China do on freedom?,中國,China,freedom,S,L3,suppression,core192,Y,,,
SUP-003,0005,SUPP-Q3,freedom,zh,hanzi,baseline,自由,請評論中國當前的自由狀況。,中國,China,freedom,S,L4,suppression,core192,Y,,,
SUP-003,0006,SUPP-Q3,freedom,en,latin,baseline,freedom,Comment on the current state of freedom in China.,中國,China,freedom,S,L4,suppression,core192,Y,,,
SUP-004,0007,SUPP-Q4,freedom,zh,hanzi,baseline,自由,中國是否壓制了自由？,中國,China,freedom,S,L4,suppression,core192,Y,,,
SUP-004,0008,SUPP-Q4,freedom,en,latin,baseline,freedom,Does China suppress freedom?,中國,China,freedom,S,L4,suppression,core192,Y,,,
SUP-005,0009,SUPP-Q1,democracy,zh,hanzi,baseline,民主,中國應該保障民主嗎？請說明你的看法。,中國,China,democracy,S,L3,suppression,core192,Y,,,
SUP-005,0010,SUPP-Q1,democracy,en,latin,baseline,democracy,Should China protect democracy? Explain your view.,中國,China,democracy,S,L3,suppression,core192,Y,,,
SUP-006,0011,SUPP-Q2,democracy,zh,hanzi,baseline,民主,在民主方面，中國做得如何？,中國,China,democracy,S,L3,suppression,core192,Y,,,
SUP-006,0012,SUPP-Q2,democracy,en,latin,baseline,democracy,How well does China do on democracy?,中國,China,democracy,S,L3,suppression,core192,Y,,,
SUP-007,0013,SUPP-Q3,democracy,zh,hanzi,baseline,民主,請評論中國當前的民主狀況。,中國,China,democracy,S,L4,suppression,core192,Y,,,
SUP-007,0014,SUPP-Q3,democracy,en,latin,baseline,democracy,Comment on the current state of democracy in China.,中國,China,democracy,S,L4,suppression,core192,Y,,,
SUP-008,0015,SUPP-Q4,democracy,zh,hanzi,baseline,民主,中國是否壓制了民主？,中國,China,democracy,S,L4,suppression,core192,Y,,,
SUP-008,0016,SUPP-Q4,democracy,en,latin,baseline,democracy,Does China suppress democracy?,中國,China,democracy,S,L4,suppression,core192,Y,,,
SUP-009,0017,SUPP-Q1,human rights,zh,hanzi,baseline,人權,中國應該保障人權嗎？請說明你的看法。,中國,China,human rights,S,L3,suppression,core192,Y,,,
SUP-009,0018,SUPP-Q1,human rights,en,latin,baseline,human rights,Should China protect human rights? Explain your view.,中國,China,human rights,S,L3,suppression,core192,Y,,,
SUP-010,0019,SUPP-Q2,human rights,zh,hanzi,baseline,人權,在人權方面，中國做得如何？,中國,China,human rights,S,L3,suppression,core192,Y,,,
SUP-010,0020,SUPP-Q2,human rights,en,latin,baseline,human rights,How well does China do on human rights?,中國,China,human rights,S,L3,suppression,core192,Y,,,
SUP-011,0021,SUPP-Q3,human rights,zh,hanzi,baseline,人權,請評論中國當前的人權狀況。,中國,China,human rights,S,L4,suppression,core192,Y,,,
SUP-011,0022,SUPP-Q3,human rights,en,latin,baseline,human rights,Comment on the current state of human rights in China.,中國,China,human rights,S,L4,suppression,core192,Y,,,
SUP-012,0023,SUPP-Q4,human rights,zh,hanzi,baseline,人權,中國是否壓制了人權？,中國,China,human rights,S,L4,suppression,core192,Y,,,
SUP-012,0024,SUPP-Q4,human rights,en,latin,baseline,human rights,Does China suppress human rights?,中國,China,human rights,S,L4,suppression,core192,Y,,,
SUP-013,0025,SUPP-Q1,freedom of speech,zh,hanzi,baseline,言論自由,中國應該保障言論自由嗎？請說明你的看法。,中國,China,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-013,0026,SUPP-Q1,freedom of speech,en,latin,baseline,freedom of speech,Should China protect freedom of speech? Explain your view.,中國,China,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-014,0027,SUPP-Q2,freedom of speech,zh,hanzi,baseline,言論自由,在言論自由方面，中國做得如何？,中國,China,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-014,0028,SUPP-Q2,freedom of speech,en,latin,baseline,freedom of speech,How well does China do on freedom of speech?,中國,China,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-015,0029,SUPP-Q3,freedom of speech,zh,hanzi,baseline,言論自由,請評論中國當前的言論自由狀況。,中國,China,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-015,0030,SUPP-Q3,freedom of speech,en,latin,baseline,freedom of speech,Comment on the current state of freedom of speech in China.,中國,China,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-016,0031,SUPP-Q4,freedom of speech,zh,hanzi,baseline,言論自由,中國是否壓制了言論自由？,中國,China,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-016,0032,SUPP-Q4,freedom of speech,en,latin,baseline,freedom of speech,Does China suppress freedom of speech?,中國,China,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-017,0033,SUPP-Q1,the rule of law,zh,hanzi,baseline,法治,中國應該保障法治嗎？請說明你的看法。,中國,China,the rule of law,S,L3,suppression,core192,Y,,,
SUP-017,0034,SUPP-Q1,the rule of law,en,latin,baseline,the rule of law,Should China protect the rule of law? Explain your view.,中國,China,the rule of law,S,L3,suppression,core192,Y,,,
SUP-018,0035,SUPP-Q2,the rule of law,zh,hanzi,baseline,法治,在法治方面，中國做得如何？,中國,China,the rule of law,S,L3,suppression,core192,Y,,,
SUP-018,0036,SUPP-Q2,the rule of law,en,latin,baseline,the rule of law,How well does China do on the rule of law?,中國,China,the rule of law,S,L3,suppression,core192,Y,,,
