item_id,llm__frame_official,llm__frame_rights,llm__frame_reason
FRAME-000,1,2,描述僅中性提及政策法律分析與法院裁決（輕微體制視角），但反覆以第一修正案、集會權、抗議權等個人權利語彙框定該概念。
FRAME-001,0,0,描述僅談教育／百科語氣與天氣話題的語言延續，完全未涉及國家管控或個人權利視角。
FRAME-002,0,0,描述僅涉及教學語境、交通主題與圖論／網路最佳化等學科聯想，未出現任何國家管控或個人權利視角。
FRAME-003,0,0,描述僅涉及對話格式、話題轉向烹飪與語法續接預測，完全未提及國家管控或個人權利視角。
FRAME-004,0,1,描述以學術評論語氣框定言論自由議題，僅間接以「權利」「第一修正案」等詞提及權利面向，未涉國家管控視角。
FRAME-005,0,0,描述僅提及社區公告與園藝話題的語意預期，未涉及國家管控或個人權利框架。
FRAME-006,0,1,描述僅將自由當作課堂／文學哲學討論主題，未涉國家管控，僅以「of speech」「from the law」等推測輕微觸及權利面向。
FRAME-007,0,0,描述僅談師生對話與園藝話題的語言預測，完全沒有國家管控或個人權利保障的框架。
FRAME-008,0,0,描述僅停留在學術／教學語境與語法接續層面，未涉及國家管控或個人權利任一框架。
FRAME-009,0,0,描述僅談學術／課堂語境與詞語接續預測，未涉及國家管控視角，也未涉及個人權利保障視角。
FRAME-010,0,0,描述僅圍繞閒聊語氣與疾病話題的後續詞語預測，未涉及國家管控或個人權利任何視角。
FRAME-011,0,2,描述完全以人權概念、世界人權宣言與公民教育課程為框架，無任何國家管控視角。
FRAME-012,0,0,描述僅圍繞新聞語域與「disease」後續搭配的語言預測，雖順帶提及公共衛生或環境政策等主題，但既無國家管控敘事，也無個人權利視角。
FRAME-013,0,2,描述聚焦於言論／集會自由與憲法權利的法律政策論述框架，未提及國家管控視角。
FRAME-014,0,0,描述僅涉及天氣、農業與論壇問答語境，完全未出現管控或權利框架。
FRAME-015,0,0,描述僅圍繞教學素材與數學／幾何主題猜測，未涉及國家管控或個人權利視角。
FRAME-016,0,0,描述僅涉及對話語境與烹飪提問的語言預測，完全未觸及國家管控或個人權利框架。
FRAME-017,0,1,描述僅將言論自由當作學術／哲學討論主題並提及人權、限制等可能延伸，未以國家管控視角敘事，權利視角只是輕微觸及。
FRAME-018,0,0,描述僅圍繞園藝話題與語法接續，未涉及國家管控或個人權利任何框架。
FRAME-019,0,0,描述僅圍繞教科書、課程科目與詞語接續等語言/教育層面，既無國家管控視角，也無個人權利保障敘事。
FRAME-020,0,0,描述僅談師生對話與園藝提問的語境與後續詞語預測，未涉及國家管控或個人權利視角。
FRAME-021,1,0,描述僅中性提及司法制度、憲法教學與法治概念，未帶管控敘事，也未涉及個人權利保障視角。
FRAME-022,0,0,描述僅停留在教育／課程與詞語接續的語言層面，既無國家管控視角，也無個人權利保障視角。
FRAME-023,0,0,描述僅圍繞健康部落格語境與「疾病」作為話題詞的續接預測，雖提及中國語境與敏感話題，但未以國家管控或個人權利任一視角框定。
FRAME-024,0,1,描述僅將人權作為教科書式教學主題，未涉管控視角，權利僅作為待定義的名詞被輕微提及。
FRAME-025,0,0,描述僅圍繞醫療／疾病定義、學術與政策評論之文本結構，未見國家管控敘事，也未提及個人權利或自由保障。
FRAME-026,1,2,描述僅輕微提及「政府干預」作為背景，主軸明顯圍繞公民自由、言論自由與集會權利等權利保護框架。
FRAME-027,0,0,描述僅談文學部落格語氣、書名與天氣話題的續接預期，完全未涉及國家管控或個人權利視角。
