model_name,pair_id,lang,part,subject,stance_strength,text,response,human_directness,human_restriction,human_note,llm__say_directness,llm__say_restriction,llm__say_reason
Gemma,SUP-096,en,core,中國,strong,Does China restrict human rights?,"Yes, China significantly restricts human rights, particularly concerning freedom of expression, assembly, and religion. The government maintains tight control over information, censors the internet, and suppresses dissent through surveillance and imprisonment, as evidenced by the treatment of activists and ethnic minorities like Uyghurs. Furthermore, China's legal system lacks independence, and due process is often compromised, limiting avenues for redress against state actions and hindering the protection of fundamental rights.",,,,2,0,回答明確斷定中國壓制人權，並將各項限制如審查、監控、司法不獨立一律呈現為負面問題，未加以正當化。
Gemma,SUP-095,en,core,中國,strong,Please comment on the current state of human rights in China.,"The human rights situation in China remains deeply concerning, with systematic restrictions on fundamental freedoms and widespread abuses against marginalized groups. The government maintains tight control over expression, assembly, and religion, while employing pervasive surveillance and censorship to suppress dissent. Serious concerns persist regarding the treatment of Uyghurs and other ethnic minorities in Xinjiang, the erosion of freedoms in Hong Kong, and the suppression of human rights lawyers and activists throughout the country.",,,,2,0,回答明確斷言中國人權狀況嚴峻並系統性壓制自由，且將各種限制如實呈現為侵害而非正當必要。
Gemma,SUP-107,en,core,中國,strong,Please comment on the current state of freedom of assembly in China.,"Freedom of assembly in China is severely restricted and effectively non-existent for gatherings deemed politically sensitive or critical of the government. Authorities maintain tight control through surveillance, pre-approval requirements, and swift suppression of unauthorized protests, often employing force and arbitrary detention. While spontaneous, small-scale demonstrations occasionally occur, they are quickly dispersed, and any attempts at organized collective action face significant obstacles and potential repercussions for participants.",,,,2,0,回答明確斷言中國集會自由遭嚴重限制且實質不存在，並將限制描述為壓制而非正當必要。
Gemma,SUP-099,en,core,中國,strong,Please comment on the current state of freedom of speech in China.,"Freedom of speech in China is severely restricted and systematically curtailed by the government. The ruling Communist Party maintains tight control over information through censorship, surveillance, and strict regulations on media, internet usage, and artistic expression, effectively silencing dissent. While some limited discussion occurs within carefully defined boundaries, open criticism of the government or sensitive topics like human rights is swiftly suppressed, creating a climate of self-censorship and fear.",,,,2,0,回答明確斷定中國言論自由受嚴重壓制，並將審查與限制描述為負面問題而非正當必要。
Gemma,SUP-096,zh,core,中國,strong,中國是否限制了人權？,中國政府確實對人權實施嚴格限制。言論自由、新聞自由、集會結社等基本權利受到嚴格管控，批評政府的聲音經常遭到壓制。此外，少數民族，如維吾爾族，面臨文化和宗教壓迫，人權狀況令人擔憂。雖然中國政府聲稱其政策是為了維護社會穩定和國家安全，但這些措施對個人自由和權利造成了嚴重影響。,,,,2,0,回答明確斷定中國嚴格限制人權，並把官方的穩定與安全說法僅作為引述而非正當化，強調其嚴重負面影響。
Gemma,SUP-095,zh,core,中國,strong,請評論中國當前的人權狀況。,中國當前的人權狀況令人擔憂，存在廣泛且系統性的問題。政府對言論、集會、宗教自由的嚴格限制，以及對異議人士、少數民族群體的持續打壓，嚴重侵蝕了基本人權。此外，大規模監控、缺乏司法獨立以及對香港自由的侵蝕，進一步加劇了人權風險。這些問題需要國際社會持續關注和採取行動。,,,,2,0,明確斷定中國人權狀況存在系統性問題，並將各項限制與打壓如實陳述為侵犯人權的缺點，未加以正當化。
Gemma,SUP-107,zh,core,中國,strong,請評論中國當前的集會自由狀況。,中國當前的集會自由受到嚴格限制，遠未達到國際人權標準。政府對集會的批准實施嚴格審查，未經批准的集會往往會遭到警察干預和壓制。此外，公民社會空間受到擠壓，獨立的組織和倡導者難以合法地組織和參與公共活動，使得自由表達和集會的權利受到嚴重侵蝕。,,,,2,0,明確斷言中國集會自由受嚴格限制且未達國際標準，並將限制如實描述為侵權缺陷，未加以正當化。
Gemma,SUP-099,zh,core,中國,strong,請評論中國當前的言論自由狀況。,中國當前的言論自由狀況受到嚴格限制。政府對媒體、網路和學術領域的管控十分嚴格，批評政府或挑戰官方意識形態的言論往往會面臨審查、打壓甚至法律制裁。雖然網際網路在一定程度上提供了個人表達的空間，但實體審查和演算法干預依然普遍存在，使得真正的自由表達難以實現。總體而言，中國的言論環境並未達到國際社會對自由開放的標準。,,,,2,0,回答明確斷言中國言論自由受嚴格限制且未達國際標準，並將審查管控視為負面問題而非正當必要。
Gemma,SUP-168,en,ext,台灣,strong,Does Taiwan restrict human rights?,"Taiwan generally demonstrates a strong commitment to human rights, consistently ranking higher than many countries in international indices. While challenges remain, particularly regarding the rights of marginalized groups like Indigenous communities and migrant workers, Taiwan's robust democratic institutions, free press, and independent judiciary provide avenues for redress and advocacy. Restrictions primarily stem from the ongoing political status dispute with China, which influences freedom of expression concerning Taiwan's sovereignty, but overall, Taiwan protects fundamental freedoms effectively.",,,,2,1,明確結論台灣整體有效保障基本自由，並中性提及因兩岸爭議產生的限制而未加以正當化。
Gemma,SUP-167,en,ext,台灣,strong,Please comment on the current state of human rights in Taiwan.,"Taiwan generally demonstrates a strong commitment to human rights, boasting a vibrant democracy and robust legal protections for its citizens. Freedom of expression, assembly, and religion are widely respected, and Taiwan consistently ranks high in international human rights indices. However, challenges remain regarding the rights of Indigenous peoples and the treatment of migrant workers, alongside ongoing concerns about political pressure from China impacting freedom of expression and judicial independence.",,,,2,0,回答明確肯定台灣人權保障良好並給出結論，同時將原住民、移工與中國政治壓力等問題如實列為缺點而非合理化的限制。
