pair_id,frame,lang,mention,n_mentions,n_tokens,mention_tok_start,mention_tok_end,mention_n_subtokens,mention_pieces,site_a_idx,site_b_idx,leadin_tokens,naive_search_agrees,span_decodes_ok,warnings
REP-001,C1,zh,自由,1,24,17,18,1,'自由',17,24,16,True,True,
REP-001,C1,en,freedom,1,26,18,19,1,'▁freedom',18,26,17,False,True,
REP-002,C2,zh,自由,1,18,17,18,1,'自由',17,18,16,True,True,
REP-002,C2,en,freedom,1,17,16,17,1,'▁freedom',16,17,15,False,True,
REP-003,C3,zh,自由,1,19,17,18,1,'自由',17,19,16,True,True,
REP-003,C3,en,freedom,1,20,16,17,1,'▁freedom',16,20,15,False,True,
REP-004,C4,zh,自由,1,21,14,15,1,'自由',14,21,13,True,True,
REP-004,C4,en,freedom,1,22,13,14,1,'▁freedom',13,22,12,False,True,
REP-005,C5,zh,自由,1,20,17,18,1,'自由',17,20,16,True,True,
REP-005,C5,en,freedom,1,20,16,17,1,'▁freedom',16,20,15,False,True,
REP-006,C6,zh,自由,1,23,22,23,1,'自由',22,23,21,True,True,
REP-006,C6,en,freedom,1,21,18,19,1,'▁freedom',18,21,17,False,True,
REP-007,C1,zh,民主,1,24,17,18,1,'民主',17,24,16,True,True,
REP-007,C1,en,democracy,1,26,18,19,1,'▁democracy',18,26,17,False,True,
REP-008,C2,zh,民主,1,18,17,18,1,'民主',17,18,16,True,True,
REP-008,C2,en,democracy,1,17,16,17,1,'▁democracy',16,17,15,False,True,
REP-009,C3,zh,民主,1,19,17,18,1,'民主',17,19,16,True,True,
REP-009,C3,en,democracy,1,20,16,17,1,'▁democracy',16,20,15,False,True,
REP-010,C4,zh,民主,1,21,14,15,1,'民主',14,21,13,True,True,
REP-010,C4,en,democracy,1,22,13,14,1,'▁democracy',13,22,12,False,True,
REP-011,C5,zh,民主,1,20,17,18,1,'民主',17,20,16,True,True,
REP-011,C5,en,democracy,1,20,16,17,1,'▁democracy',16,20,15,False,True,
REP-012,C6,zh,民主,1,23,22,23,1,'民主',22,23,21,True,True,
REP-012,C6,en,democracy,1,21,18,19,1,'▁democracy',18,21,17,False,True,
REP-013,C1,zh,人權,1,25,17,19,2,'人' | '權',18,25,16,True,True,
REP-013,C1,en,human rights,1,27,18,20,2,'▁human' | '▁rights',19,27,17,False,True,
REP-014,C2,zh,人權,1,19,17,19,2,'人' | '權',18,19,16,True,True,
REP-014,C2,en,human rights,1,18,16,18,2,'▁human' | '▁rights',17,18,15,False,True,
REP-015,C3,zh,人權,1,20,17,19,2,'人' | '權',18,20,16,True,True,
REP-015,C3,en,human rights,1,21,16,18,2,'▁human' | '▁rights',17,21,15,False,True,
