pair_id,sent_seq,frame,entity,lang,mention_script,cell_type,mention,text,subject,subject_en,concept_en,concept_class,sens_level,stance_strength,evidence_line,part,needs_review,prop_equiv,naturalness,reviewer_notes
REP-001,0001,C1,freedom,zh,hanzi,baseline,自由,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-001,0002,C1,freedom,en,latin,baseline,freedom,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-002,0003,C2,freedom,zh,hanzi,baseline,自由,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-002,0004,C2,freedom,en,latin,baseline,freedom,"In class, the teacher used a few everyday examples to help the students understand freedom.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-003,0005,C3,freedom,zh,hanzi,baseline,自由,那份研究報告用了整整一個章節，仔細探討自由在現代社會中的角色。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-003,0006,C3,freedom,en,latin,baseline,freedom,That research report devoted an entire chapter to examining the role of freedom in modern society.,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-004,0007,C4,freedom,zh,hanzi,baseline,自由,幾個朋友聚在一起聊天時，不知不覺就聊到了自由，討論得相當熱烈。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-004,0008,C4,freedom,en,latin,baseline,freedom,"While a few friends were chatting, the conversation eventually turned to freedom, and they debated it with real enthusiasm.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-005,0009,C5,freedom,zh,hanzi,baseline,自由,最近一則新聞被媒體廣泛報導，讓自由再次成為大眾關注的焦點。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-005,0010,C5,freedom,en,latin,baseline,freedom,"A recent news story drew wide media coverage, once again bringing freedom into public focus.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-006,0011,C6,freedom,zh,hanzi,baseline,自由,這本書的作者在序言裡提到，他當初動筆，就是想好好談談自由。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-006,0012,C6,freedom,en,latin,baseline,freedom,"In the preface, the author explains that the book grew out of a wish to explore freedom in depth.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-007,0013,C1,democracy,zh,hanzi,baseline,民主,在上週的公開座談會上，與會者花了不少時間討論民主，也各自提出了不同的看法。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-007,0014,C1,democracy,en,latin,baseline,democracy,"At last week's public forum, the participants spent a good deal of time discussing democracy and shared a range of different views.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-008,0015,C2,democracy,zh,hanzi,baseline,民主,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識民主。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-008,0016,C2,democracy,en,latin,baseline,democracy,"In class, the teacher used a few everyday examples to help the students understand democracy.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-009,0017,C3,democracy,zh,hanzi,baseline,民主,那份研究報告用了整整一個章節，仔細探討民主在現代社會中的角色。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-009,0018,C3,democracy,en,latin,baseline,democracy,That research report devoted an entire chapter to examining the role of democracy in modern society.,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-010,0019,C4,democracy,zh,hanzi,baseline,民主,幾個朋友聚在一起聊天時，不知不覺就聊到了民主，討論得相當熱烈。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-010,0020,C4,democracy,en,latin,baseline,democracy,"While a few friends were chatting, the conversation eventually turned to democracy, and they debated it with real enthusiasm.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-011,0021,C5,democracy,zh,hanzi,baseline,民主,最近一則新聞被媒體廣泛報導，讓民主再次成為大眾關注的焦點。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-011,0022,C5,democracy,en,latin,baseline,democracy,"A recent news story drew wide media coverage, once again bringing democracy into public focus.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-012,0023,C6,democracy,zh,hanzi,baseline,民主,這本書的作者在序言裡提到，他當初動筆，就是想好好談談民主。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-012,0024,C6,democracy,en,latin,baseline,democracy,"In the preface, the author explains that the book grew out of a wish to explore democracy in depth.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-013,0025,C1,human rights,zh,hanzi,baseline,人權,在上週的公開座談會上，與會者花了不少時間討論人權，也各自提出了不同的看法。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-013,0026,C1,human rights,en,latin,baseline,human rights,"At last week's public forum, the participants spent a good deal of time discussing human rights and shared a range of different views.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-014,0027,C2,human rights,zh,hanzi,baseline,人權,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-014,0028,C2,human rights,en,latin,baseline,human rights,"In class, the teacher used a few everyday examples to help the students understand human rights.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-015,0029,C3,human rights,zh,hanzi,baseline,人權,那份研究報告用了整整一個章節，仔細探討人權在現代社會中的角色。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-015,0030,C3,human rights,en,latin,baseline,human rights,That research report devoted an entire chapter to examining the role of human rights in modern society.,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-016,0031,C4,human rights,zh,hanzi,baseline,人權,幾個朋友聚在一起聊天時，不知不覺就聊到了人權，討論得相當熱烈。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-016,0032,C4,human rights,en,latin,baseline,human rights,"While a few friends were chatting, the conversation eventually turned to human rights, and they debated it with real enthusiasm.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-017,0033,C5,human rights,zh,hanzi,baseline,人權,最近一則新聞被媒體廣泛報導，讓人權再次成為大眾關注的焦點。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-017,0034,C5,human rights,en,latin,baseline,human rights,"A recent news story drew wide media coverage, once again bringing human rights into public focus.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-018,0035,C6,human rights,zh,hanzi,baseline,人權,這本書的作者在序言裡提到，他當初動筆，就是想好好談談人權。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-018,0036,C6,human rights,en,latin,baseline,human rights,"In the preface, the author explains that the book grew out of a wish to explore human rights in depth.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-019,0037,C1,freedom of speech,zh,hanzi,baseline,言論自由,在上週的公開座談會上，與會者花了不少時間討論言論自由，也各自提出了不同的看法。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-019,0038,C1,freedom of speech,en,latin,baseline,freedom of speech,"At last week's public forum, the participants spent a good deal of time discussing freedom of speech and shared a range of different views.",,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-020,0039,C2,freedom of speech,zh,hanzi,baseline,言論自由,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識言論自由。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-020,0040,C2,freedom of speech,en,latin,baseline,freedom of speech,"In class, the teacher used a few everyday examples to help the students understand freedom of speech.",,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-021,0041,C3,freedom of speech,zh,hanzi,baseline,言論自由,那份研究報告用了整整一個章節，仔細探討言論自由在現代社會中的角色。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-021,0042,C3,freedom of speech,en,latin,baseline,freedom of speech,That research report devoted an entire chapter to examining the role of freedom of speech in modern society.,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-022,0043,C4,freedom of speech,zh,hanzi,baseline,言論自由,幾個朋友聚在一起聊天時，不知不覺就聊到了言論自由，討論得相當熱烈。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-022,0044,C4,freedom of speech,en,latin,baseline,freedom of speech,"While a few friends were chatting, the conversation eventually turned to freedom of speech, and they debated it with real enthusiasm.",,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-023,0045,C5,freedom of speech,zh,hanzi,baseline,言論自由,最近一則新聞被媒體廣泛報導，讓言論自由再次成為大眾關注的焦點。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-023,0046,C5,freedom of speech,en,latin,baseline,freedom of speech,"A recent news story drew wide media coverage, once again bringing freedom of speech into public focus.",,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-024,0047,C6,freedom of speech,zh,hanzi,baseline,言論自由,這本書的作者在序言裡提到，他當初動筆，就是想好好談談言論自由。,,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-024,0048,C6,freedom of speech,en,latin,baseline,freedom of speech,"In the preface, the author explains that the book grew out of a wish to explore freedom of speech in depth.",,,freedom of speech,S,S1,,representation,core,claude-polished,Y,,
REP-025,0049,C1,the rule of law,zh,hanzi,baseline,法治,在上週的公開座談會上，與會者花了不少時間討論法治，也各自提出了不同的看法。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-025,0050,C1,the rule of law,en,latin,baseline,the rule of law,"At last week's public forum, the participants spent a good deal of time discussing the rule of law and shared a range of different views.",,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-026,0051,C2,the rule of law,zh,hanzi,baseline,法治,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識法治。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-026,0052,C2,the rule of law,en,latin,baseline,the rule of law,"In class, the teacher used a few everyday examples to help the students understand the rule of law.",,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-027,0053,C3,the rule of law,zh,hanzi,baseline,法治,那份研究報告用了整整一個章節，仔細探討法治在現代社會中的角色。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-027,0054,C3,the rule of law,en,latin,baseline,the rule of law,That research report devoted an entire chapter to examining the role of the rule of law in modern society.,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-028,0055,C4,the rule of law,zh,hanzi,baseline,法治,幾個朋友聚在一起聊天時，不知不覺就聊到了法治，討論得相當熱烈。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-028,0056,C4,the rule of law,en,latin,baseline,the rule of law,"While a few friends were chatting, the conversation eventually turned to the rule of law, and they debated it with real enthusiasm.",,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-029,0057,C5,the rule of law,zh,hanzi,baseline,法治,最近一則新聞被媒體廣泛報導，讓法治再次成為大眾關注的焦點。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-029,0058,C5,the rule of law,en,latin,baseline,the rule of law,"A recent news story drew wide media coverage, once again bringing the rule of law into public focus.",,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-030,0059,C6,the rule of law,zh,hanzi,baseline,法治,這本書的作者在序言裡提到，他當初動筆，就是想好好談談法治。,,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-030,0060,C6,the rule of law,en,latin,baseline,the rule of law,"In the preface, the author explains that the book grew out of a wish to explore the rule of law in depth.",,,the rule of law,S,S1,,representation,core,claude-polished,Y,,
REP-031,0061,C1,freedom of assembly,zh,hanzi,baseline,集會自由,在上週的公開座談會上，與會者花了不少時間討論集會自由，也各自提出了不同的看法。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-031,0062,C1,freedom of assembly,en,latin,baseline,freedom of assembly,"At last week's public forum, the participants spent a good deal of time discussing freedom of assembly and shared a range of different views.",,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-032,0063,C2,freedom of assembly,zh,hanzi,baseline,集會自由,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識集會自由。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-032,0064,C2,freedom of assembly,en,latin,baseline,freedom of assembly,"In class, the teacher used a few everyday examples to help the students understand freedom of assembly.",,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-033,0065,C3,freedom of assembly,zh,hanzi,baseline,集會自由,那份研究報告用了整整一個章節，仔細探討集會自由在現代社會中的角色。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-033,0066,C3,freedom of assembly,en,latin,baseline,freedom of assembly,That research report devoted an entire chapter to examining the role of freedom of assembly in modern society.,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-034,0067,C4,freedom of assembly,zh,hanzi,baseline,集會自由,幾個朋友聚在一起聊天時，不知不覺就聊到了集會自由，討論得相當熱烈。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-034,0068,C4,freedom of assembly,en,latin,baseline,freedom of assembly,"While a few friends were chatting, the conversation eventually turned to freedom of assembly, and they debated it with real enthusiasm.",,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-035,0069,C5,freedom of assembly,zh,hanzi,baseline,集會自由,最近一則新聞被媒體廣泛報導，讓集會自由再次成為大眾關注的焦點。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-035,0070,C5,freedom of assembly,en,latin,baseline,freedom of assembly,"A recent news story drew wide media coverage, once again bringing freedom of assembly into public focus.",,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-036,0071,C6,freedom of assembly,zh,hanzi,baseline,集會自由,這本書的作者在序言裡提到，他當初動筆，就是想好好談談集會自由。,,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
REP-036,0072,C6,freedom of assembly,en,latin,baseline,freedom of assembly,"In the preface, the author explains that the book grew out of a wish to explore freedom of assembly in depth.",,,freedom of assembly,S,S1,,representation,core,claude-polished,Y,,
