pair_id,frame,zh_tokens,en_tokens,gap,within_20pct
REP-001,C1,25,25,0.0,True
REP-002,C2,18,17,0.056,True
REP-003,C3,19,20,0.05,True
REP-004,C4,20,22,0.091,True
REP-005,C5,20,20,0.0,True
REP-006,C6,23,22,0.043,True
REP-007,C1,25,25,0.0,True
REP-008,C2,18,17,0.056,True
REP-009,C3,19,20,0.05,True
REP-010,C4,20,22,0.091,True
REP-011,C5,20,20,0.0,True
REP-012,C6,23,22,0.043,True
REP-013,C1,26,26,0.0,True
REP-014,C2,19,18,0.053,True
REP-015,C3,20,21,0.048,True
REP-016,C4,21,23,0.087,True
REP-017,C5,21,21,0.0,True
REP-018,C6,24,23,0.042,True
REP-019,C1,27,27,0.0,True
REP-020,C2,20,19,0.05,True
REP-021,C3,21,22,0.045,True
REP-022,C4,22,24,0.083,True
REP-023,C5,22,22,0.0,True
REP-024,C6,25,24,0.04,True
REP-025,C1,25,28,0.107,True
REP-026,C2,18,20,0.1,True
REP-027,C3,19,23,0.174,True
REP-028,C4,20,25,0.2,True
REP-029,C5,20,23,0.13,True
REP-030,C6,23,25,0.08,True
REP-031,C1,27,27,0.0,True
REP-032,C2,20,19,0.05,True
REP-033,C3,21,22,0.045,True
REP-034,C4,22,24,0.083,True
REP-035,C5,22,22,0.0,True
REP-036,C6,25,24,0.04,True
REP-037,C1,26,26,0.0,True
REP-038,C2,19,18,0.053,True
REP-039,C3,20,21,0.048,True
REP-040,C4,21,23,0.087,True
REP-041,C5,21,21,0.0,True
REP-042,C6,24,23,0.042,True
REP-043,C1,25,25,0.0,True
REP-044,C2,18,17,0.056,True
REP-045,C3,19,20,0.05,True
REP-046,C4,20,22,0.091,True
REP-047,C5,20,20,0.0,True
REP-048,C6,23,22,0.043,True
REP-049,C1,27,25,0.074,True
REP-050,C2,20,17,0.15,True
REP-051,C3,21,20,0.048,True
REP-052,C4,22,22,0.0,True
REP-053,C5,22,20,0.091,True
REP-054,C6,25,22,0.12,True
REP-055,C1,26,25,0.038,True
REP-056,C2,19,17,0.105,True
REP-057,C3,20,20,0.0,True
REP-058,C4,21,22,0.045,True
REP-059,C5,21,20,0.048,True
REP-060,C6,24,22,0.083,True
REP-061,C1,25,25,0.0,True
REP-062,C2,18,17,0.056,True
REP-063,C3,19,20,0.05,True
REP-064,C4,20,22,0.091,True
REP-065,C5,20,20,0.0,True
REP-066,C6,23,22,0.043,True
REP-067,C1,25,25,0.0,True
REP-068,C2,18,17,0.056,True
REP-069,C3,18,20,0.1,True
REP-070,C4,20,22,0.091,True
REP-071,C5,20,20,0.0,True
REP-072,C6,23,22,0.043,True
REP-073,C1,26,26,0.0,True
REP-074,C2,19,18,0.053,True
REP-075,C3,20,21,0.048,True
REP-076,C4,21,23,0.087,True
REP-077,C5,21,21,0.0,True
REP-078,C6,24,23,0.042,True
REP-079,C1,25,25,0.0,True
REP-080,C2,18,17,0.056,True
REP-081,C3,19,20,0.05,True
REP-082,C4,20,22,0.091,True
REP-083,C5,20,20,0.0,True
REP-084,C6,23,22,0.043,True
SUP-085,Q1,11,10,0.091,True
SUP-086,Q2,11,8,0.273,False
SUP-087,Q3,10,11,0.091,True
SUP-088,Q4,6,5,0.167,True
SUP-089,Q1,11,10,0.091,True
SUP-090,Q2,11,8,0.273,False
SUP-091,Q3,10,11,0.091,True
SUP-092,Q4,6,5,0.167,True
SUP-093,Q1,12,11,0.083,True
SUP-094,Q2,12,9,0.25,False
SUP-095,Q3,10,12,0.167,True
SUP-096,Q4,7,6,0.143,True
SUP-097,Q1,13,12,0.077,True
SUP-098,Q2,13,10,0.231,False
SUP-099,Q3,12,13,0.077,True
SUP-100,Q4,8,7,0.125,True
SUP-101,Q1,11,13,0.154,True
SUP-102,Q2,11,11,0.0,True
SUP-103,Q3,10,14,0.286,False
SUP-104,Q4,6,8,0.25,False
SUP-105,Q1,13,12,0.077,True
SUP-106,Q2,13,10,0.231,False
SUP-107,Q3,12,13,0.077,True
SUP-108,Q4,8,7,0.125,True
SUP-109,Q1,12,10,0.167,True
SUP-110,Q2,12,8,0.333,False
SUP-111,Q3,11,11,0.0,True
SUP-112,Q4,7,5,0.286,False
SUP-113,Q1,12,10,0.167,True
SUP-114,Q2,12,8,0.333,False
SUP-115,Q3,11,11,0.0,True
SUP-116,Q4,7,5,0.286,False
SUP-117,Q1,13,11,0.154,True
SUP-118,Q2,13,9,0.308,False
SUP-119,Q3,11,12,0.083,True
SUP-120,Q4,8,6,0.25,False
SUP-121,Q1,14,12,0.143,True
SUP-122,Q2,14,10,0.286,False
SUP-123,Q3,13,13,0.0,True
SUP-124,Q4,9,7,0.222,False
SUP-125,Q1,12,13,0.077,True
SUP-126,Q2,12,11,0.083,True
SUP-127,Q3,11,14,0.214,False
SUP-128,Q4,7,8,0.125,True
SUP-129,Q1,14,12,0.143,True
SUP-130,Q2,14,10,0.286,False
SUP-131,Q3,13,13,0.0,True
SUP-132,Q4,9,7,0.222,False
SUP-133,Q1,11,12,0.083,True
SUP-134,Q2,11,10,0.091,True
SUP-135,Q3,10,13,0.231,False
SUP-136,Q4,6,7,0.143,True
SUP-137,Q1,11,12,0.083,True
SUP-138,Q2,11,10,0.091,True
SUP-139,Q3,10,13,0.231,False
SUP-140,Q4,6,7,0.143,True
SUP-141,Q1,12,13,0.077,True
SUP-142,Q2,12,11,0.083,True
SUP-143,Q3,10,14,0.286,False
SUP-144,Q4,7,8,0.125,True
SUP-145,Q1,13,14,0.071,True
SUP-146,Q2,13,12,0.077,True
SUP-147,Q3,12,15,0.2,True
SUP-148,Q4,8,9,0.111,True
SUP-149,Q1,11,15,0.267,False
SUP-150,Q2,11,13,0.154,True
SUP-151,Q3,10,16,0.375,False
SUP-152,Q4,6,10,0.4,False
SUP-153,Q1,13,14,0.071,True
SUP-154,Q2,13,12,0.077,True
SUP-155,Q3,12,15,0.2,True
SUP-156,Q4,8,9,0.111,True
SUP-157,Q1,11,10,0.091,True
SUP-158,Q2,11,8,0.273,False
SUP-159,Q3,10,11,0.091,True
SUP-160,Q4,6,5,0.167,True
SUP-161,Q1,11,10,0.091,True
SUP-162,Q2,11,8,0.273,False
SUP-163,Q3,10,11,0.091,True
SUP-164,Q4,6,5,0.167,True
SUP-165,Q1,12,11,0.083,True
SUP-166,Q2,12,9,0.25,False
SUP-167,Q3,10,12,0.167,True
SUP-168,Q4,7,6,0.143,True
SUP-169,Q1,13,12,0.077,True
SUP-170,Q2,13,10,0.231,False
SUP-171,Q3,12,13,0.077,True
SUP-172,Q4,8,7,0.125,True
SUP-173,Q1,11,13,0.154,True
SUP-174,Q2,11,11,0.0,True
SUP-175,Q3,10,14,0.286,False
SUP-176,Q4,6,8,0.25,False
SUP-177,Q1,13,12,0.077,True
SUP-178,Q2,13,10,0.231,False
SUP-179,Q3,12,13,0.077,True
SUP-180,Q4,8,7,0.125,True
