item_id,model_name,pair_id,lang,sens_level,concept_en,text,description,是否重疊題,human_frame_official,human_frame_rights,human_note
FRAME-005,Gemma,REP-055,en,S0,gardening,"At last week's public forum, the participants spent a good deal of time discussing gardening and shared a range of different views.","Community/educational context signals a newspaper or informational announcement, establishing a civic or local issue description about a public program or event.

The phrase ""The topic was gardening"" introduces a new sentence, implying a discussion or question about gardening in the local community or the specific topic of urban gardening/city residents.

Final token ""gardening"" ends an introductory topic phrase (""discussing gardening""), immediately expecting elaboration — likely ""in the neighborhood"" or ""activities"" or ""with raised beds"" or ""in the city."" or ""and the challenges of..."" or ""because it is a popular hobby."" or ""on the property."" — a specific subject or topic statement about gardening practice.",重疊(三人都標),1,0,
FRAME-034,Qwen,REP-027,en,S1,the rule of law,"After class, a student stayed behind and went up to ask the teacher about the rule of law in more detail.","Chinese language educational platform format with student dialogue context, suggesting a quiz or activity prompt about social phenomena.

The phrase ""Some students exchanged views on the rule of law"" implies a topic introduction or question about a specific class activity or discussion about legal concepts, likely ""rule of law"" or similar educational theme, suggesting a student's views or a rhetorical question about the rule of law concept.

Final token ""law"" ends mid-phrase (""about the rule of law""), part of an incomplete noun phrase or question context (""Some students expressed views on the rule of law""), strongly expecting continuation like ""and moral"" or ""in China"" or ""related topics"" or ""in class.""",重疊(三人都標),1,0,
FRAME-050,Qwen,REP-014,zh,S1,human rights,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,"Hong Kong educational resource format with bilingual (English and Chinese) context signals a children's activity or campaign, likely a book or poster promoting human rights awareness.

The phrase ""有些小朋友從小就認識人權"" implies an incomplete phrase about exploring human rights topics, strongly suggesting a list or theme about specific human rights concepts or a centennial event title.

Final token ""人權"" ends mid-phrase (""探索人權""), part of a noun phrase listing or describing an activity (""有些人曾透過繪畫認識人權""), expecting continuation like ""的原則"" or "" violations"" or ""的基本理念"" or ""五个方面的内容"" to complete the concept.",,2,1,
FRAME-039,Qwen,REP-031,zh,S1,freedom of assembly,在上週的公開座談會上，與會者花了不少時間討論集會自由，也各自提出了不同的看法。,"Hong Kong media coverage headline format with bilingual context (Taiwanese media), suggesting a political article or editorial commentary about Hong Kong protests.

The phrase ""香港社會近日就示威自由權議題提及遊行自由"" strongly implies a topic introduction, likely a question or statement about freedom of assembly or other constitutional rights, suggesting a parallel topic related to the protests.

Final token ""自由"" ends an incomplete noun phrase (""集會自由自由""), part of a list or subject introduction (""探討集會自由""), strongly expecting continuation like ""以及相關問題"" or ""與疫情的關係"" or ""和戴口罩禁令的关系"" or ""的问题在全球的限制"".",重疊(三人都標),2,2,
FRAME-021,Gemma,REP-027,zh,S1,the rule of law,有位學生下課後留下來，特地跑去問老師關於法治的問題。,"Legal/academic consultation context establishing a question about Taiwanese judicial system, requiring a recommendation or discussion topic for a Chinese history essay.

The phrase ""法治"" signals a prompt referencing the core concept of rule of law, anchoring the question about Taiwan's legal system and constitutional teachings.

Final token ""法治"" ends a noun phrase (""对法治...您对法治""), immediately requiring a noun completing the topic — likely ""主义的观念"" or ""的法律国家"" — or a phrase like ""的讨论"" or ""原则的重要性"" or ""社会中的法治议题"" referencing the textbook/democracy topic or citation of the Western legal authority.",重疊(三人都標),1,1,
FRAME-043,Qwen,REP-023,zh,S1,freedom of speech,我昨天在圖書館翻書時，剛好讀到一段在講言論自由的文字。,"Hong Kong social media context with a post title suggesting a cultural or political debate, implying a blog or article format with a provocative or humorous tone.

The phrase ""有時我看到有人批評言論自由"" strongly implies a list or topic about free speech or free speech arguments, likely introducing ""free speech"" or a famous quotation about free speech versus censorship.

Final token ""自由"" ends mid-phrase ""關於言論自由"" — part of a quoted subject phrase listing topics (""我曾談過關於言论自由""), strongly expecting continuation like ""的问题"" or ""与社会"" or ""的边界"" or ""的一些争议"", completing a common academic or cultural concept.",重疊(三人都標),1,1,
FRAME-011,Gemma,REP-014,en,S1,human rights,"In class, the teacher used a few everyday examples to help the students understand human rights.","Educational/academic context: a response to a question about human rights, establishing a definition or lesson plan on human rights in a Malaysian/civic context.

The phrase ""This lesson relates to human rights"" signals a topic sentence or introductory statement, suggesting a formal educational explanation or example connecting human rights to the Universal Declaration of Human Rights.

Final token ""human rights"" ends a topic phrase (""discusses human rights...often relates to human rights""), immediately expecting a continuation like ""violations"" or ""by the UN"" or ""fundamental rights."" or ""– such as..."" — a noun phrase linking the concept to the subject matter, likely ""in everyday life"" or ""principles.""",,2,0,
FRAME-019,Gemma,REP-003,zh,S1,freedom,有位學生下課後留下來，特地跑去問老師關於自由的問題。,"Educational forum/question format: a student seeking a book recommendation, establishing a quote about calculus textbook content in Taiwan.

The phrase ""自由"" signals a keyword or subject tag (""自由意志、自由""), likely referencing the classic liberal arts topic of freedom/academic subject matter for the textbook discussion.

Final token ""自由"" ends a topic phrase (""自由...叫做自由的课程，也就是自由""), immediately requiring a noun phrase — likely ""的作文"" or ""的数学"" to complete the subject, or ""意志的例子"" or ""的定义"" or ""in the course"" or ""选择的例子"" implying the specific topic of free will or textbook curriculum.",,0,0,
FRAME-006,Gemma,REP-003,en,S1,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Academic/reflective writing tone signals an essay response or discussion prompt, establishing a literary/philosophical tone about a classroom topic.

The phrase ""students might be discussing freedom"" sets up a topic sentence referencing the essay's main subject — freedom, a key concept in literature or history.

Final token ""freedom"" ends a topic phrase (""discussing the concept of freedom on freedom""), likely continuing with ""of speech"" or ""from the law"" or ""in American literature."" — or ""and slavery."" or ""of choice."" or ""the topic."" — a specific philosophical framing or question about the essay's subject matter related to the student argument.",重疊(三人都標),0,1,
FRAME-023,Gemma,REP-070,zh,S0,disease,幾個朋友聚在一起聊天時，不知不覺就聊到了疾病，討論得相當熱烈。,"Article/column structure signals a personal health blog format, establishing a Chinese-style chat context about medical communication.

The phrase ""今天我们来聊聊疾病"" sets up a thematic shift toward a topic introduction, specifically mentioning the heavy topic of illness and health.

Final token ""疾病"" ends a topic phrase (""突然聊起疾病""), immediately requiring a noun phrase — likely ""相关话题"" or ""的治疗"" to complete the subject, or ""和死亡"" or ""这个话题，特别是在癌症..."" or ""的健康，尤其是慢性病..."" — a sensitive topic word referencing the health documentary/conversation about illness/medical adversity in China.",,0,0,
FRAME-003,Gemma,REP-051,en,S0,cooking,"After class, a student stayed behind and went up to ask the teacher about cooking in more detail.","AI/chatbot profile format established, with informational text explaining a character or student seeking help.

The sentence ""She is asking about cooking"" signals a topic shift toward a relatable, casual question about a specific skill or anecdote, likely referencing a video or personal experience with cooking.

Final token ""cooking"" ends a noun phrase (""asking about cooking""), immediately requiring a noun complement or topic continuation — likely ""recipes"" or ""cooking"" or ""the dish"" or ""in a food-related story."" or ""tips"" or ""during her internship."" or ""with the character."" — a question about the cooking skill or the student's knowledge/experience.",,0,0,
