desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
REP-001|zh|hanzi#1#siteA#k0,REP-001|zh|hanzi#1#siteA,0,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.009766,0.995117,en,585
REP-001|zh|hanzi#1#siteA#k1,REP-001|zh|hanzi#1#siteA,1,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.010581,0.99471,en,562
REP-001|zh|hanzi#1#siteA#k2,REP-001|zh|hanzi#1#siteA,2,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.009972,0.995014,en,552
REP-001|zh|hanzi#1#siteA#k3,REP-001|zh|hanzi#1#siteA,3,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.010414,0.994793,en,592
REP-001|zh|hanzi#1#siteA#k4,REP-001|zh|hanzi#1#siteA,4,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,A,0.010134,0.994933,en,567
REP-001|zh|hanzi#1#siteB#k0,REP-001|zh|hanzi#1#siteB,0,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.00705,0.996475,mixed,554
REP-001|zh|hanzi#1#siteB#k1,REP-001|zh|hanzi#1#siteB,1,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.007444,0.996278,mixed,551
REP-001|zh|hanzi#1#siteB#k2,REP-001|zh|hanzi#1#siteB,2,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.006436,0.996782,mixed,559
REP-001|zh|hanzi#1#siteB#k3,REP-001|zh|hanzi#1#siteB,3,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.007466,0.996267,mixed,529
REP-001|zh|hanzi#1#siteB#k4,REP-001|zh|hanzi#1#siteB,4,REP-001|zh|hanzi#1,REP-001,C1,freedom,zh,hanzi,baseline,B,0.006678,0.996661,mixed,568
REP-001|en|latin#2#siteA#k0,REP-001|en|latin#2#siteA,0,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.010036,0.994982,en,700
REP-001|en|latin#2#siteA#k1,REP-001|en|latin#2#siteA,1,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.009732,0.995134,en,714
REP-001|en|latin#2#siteA#k2,REP-001|en|latin#2#siteA,2,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.009922,0.995039,en,746
REP-001|en|latin#2#siteA#k3,REP-001|en|latin#2#siteA,3,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.011021,0.994489,en,732
REP-001|en|latin#2#siteA#k4,REP-001|en|latin#2#siteA,4,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,A,0.011885,0.994058,en,685
REP-001|en|latin#2#siteB#k0,REP-001|en|latin#2#siteB,0,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.006705,0.996648,en,760
