pair_id,sent_seq,frame,entity,lang,mention_script,cell_type,mention,text,subject,subject_en,concept_en,concept_class,sens_level,stance_strength,evidence_line,part,needs_review,prop_equiv,naturalness,reviewer_notes
REP-001,1,C1,freedom,zh,hanzi,baseline,自由,在上週的公開座談會上，與會者花了不少時間討論自由，也各自提出了不同的看法。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-001,2,C1,freedom,en,latin,baseline,freedom,"At last week's public forum, the participants spent a good deal of time discussing freedom and shared a range of different views.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-002,3,C2,freedom,zh,hanzi,baseline,自由,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識自由。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-002,4,C2,freedom,en,latin,baseline,freedom,"In class, the teacher used a few everyday examples to help the students understand freedom.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-003,5,C3,freedom,zh,hanzi,baseline,自由,有位學生下課後留下來，特地跑去問老師關於自由的問題。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-003,6,C3,freedom,en,latin,baseline,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-004,7,C4,freedom,zh,hanzi,baseline,自由,幾個朋友聚在一起聊天時，不知不覺就聊到了自由，討論得相當熱烈。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-004,8,C4,freedom,en,latin,baseline,freedom,"While a few friends were chatting, the conversation eventually turned to freedom, and they debated it with real enthusiasm.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-005,9,C5,freedom,zh,hanzi,baseline,自由,我昨天在圖書館翻書時，剛好讀到一段在講自由的文字。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-005,10,C5,freedom,en,latin,baseline,freedom,"While browsing in the library yesterday, I happened to read a passage that discussed freedom at some length.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-006,11,C6,freedom,zh,hanzi,baseline,自由,這本書的作者在序言裡提到，他當初動筆，就是想好好談談自由。,,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-006,12,C6,freedom,en,latin,baseline,freedom,"In the preface, the author explains that the book grew out of a wish to explore freedom in depth.",,,freedom,S,S1,,representation,core,claude-polished,Y,,
REP-007,13,C1,democracy,zh,hanzi,baseline,民主,在上週的公開座談會上，與會者花了不少時間討論民主，也各自提出了不同的看法。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-007,14,C1,democracy,en,latin,baseline,democracy,"At last week's public forum, the participants spent a good deal of time discussing democracy and shared a range of different views.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-008,15,C2,democracy,zh,hanzi,baseline,民主,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識民主。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-008,16,C2,democracy,en,latin,baseline,democracy,"In class, the teacher used a few everyday examples to help the students understand democracy.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-009,17,C3,democracy,zh,hanzi,baseline,民主,有位學生下課後留下來，特地跑去問老師關於民主的問題。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-009,18,C3,democracy,en,latin,baseline,democracy,"After class, a student stayed behind and went up to ask the teacher about democracy in more detail.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-010,19,C4,democracy,zh,hanzi,baseline,民主,幾個朋友聚在一起聊天時，不知不覺就聊到了民主，討論得相當熱烈。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-010,20,C4,democracy,en,latin,baseline,democracy,"While a few friends were chatting, the conversation eventually turned to democracy, and they debated it with real enthusiasm.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-011,21,C5,democracy,zh,hanzi,baseline,民主,我昨天在圖書館翻書時，剛好讀到一段在講民主的文字。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-011,22,C5,democracy,en,latin,baseline,democracy,"While browsing in the library yesterday, I happened to read a passage that discussed democracy at some length.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-012,23,C6,democracy,zh,hanzi,baseline,民主,這本書的作者在序言裡提到，他當初動筆，就是想好好談談民主。,,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-012,24,C6,democracy,en,latin,baseline,democracy,"In the preface, the author explains that the book grew out of a wish to explore democracy in depth.",,,democracy,S,S1,,representation,core,claude-polished,Y,,
REP-013,25,C1,human rights,zh,hanzi,baseline,人權,在上週的公開座談會上，與會者花了不少時間討論人權，也各自提出了不同的看法。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-013,26,C1,human rights,en,latin,baseline,human rights,"At last week's public forum, the participants spent a good deal of time discussing human rights and shared a range of different views.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-014,27,C2,human rights,zh,hanzi,baseline,人權,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-014,28,C2,human rights,en,latin,baseline,human rights,"In class, the teacher used a few everyday examples to help the students understand human rights.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-015,29,C3,human rights,zh,hanzi,baseline,人權,有位學生下課後留下來，特地跑去問老師關於人權的問題。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-015,30,C3,human rights,en,latin,baseline,human rights,"After class, a student stayed behind and went up to ask the teacher about human rights in more detail.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-016,31,C4,human rights,zh,hanzi,baseline,人權,幾個朋友聚在一起聊天時，不知不覺就聊到了人權，討論得相當熱烈。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-016,32,C4,human rights,en,latin,baseline,human rights,"While a few friends were chatting, the conversation eventually turned to human rights, and they debated it with real enthusiasm.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-017,33,C5,human rights,zh,hanzi,baseline,人權,我昨天在圖書館翻書時，剛好讀到一段在講人權的文字。,,,human rights,S,S1,,representation,core,claude-polished,Y,,
REP-017,34,C5,human rights,en,latin,baseline,human rights,"While browsing in the library yesterday, I happened to read a passage that discussed human rights at some length.",,,human rights,S,S1,,representation,core,claude-polished,Y,,
